ID;ID progetto;REQUISITO (testo);Classe dei requisiti;CATEGORIA;PAROLA
R289;6;The product shall use a standard navigation menu familiar to most web users.;US;adj;familiar
R18;1;The system shall color code events according to their variance from current time.;F;adj;current
R759;34;The system’s back-end servers shall only be accessible to authenticated administrators.;SE;adj;back
R823;42;Return to List is available if the patient loaded is not correct.;F;adj;correct
R397;8;When purchasing a streaming movie or pre-paid card via credit card  the processing time should have a maximum response time of 15 seconds.;PE;adj;streaming
R98;3;The system shall have basic data integrity checking to reduce the possibility of incorrect or invalid data being introduced.;SE;adj;basic
R187;4;The Disputes System must allow the user to create three unique types of ticket retrieval requests.  The three types of ticket retrieval requests are (1) Request for original receipt (2) Request for a copy of the receipt or (3) Request for a portfolio. A portfolio consists of documentation that would provide proof of a purchase such as the documentation that is received from a car rental agency that is more than a sales receipt.;F;adj;such as
R148;4;The Disputes application shall comply with the corporate standards for user interface creation for internally and externally used applications.;LF;adj;corporate
R948;46;The customer’s web browser shall never display a customer’s password.  It shall always be echoed with special characters representing typed characters.;SE;adj;typed
R39;2;The product shall generate a CMA report in an acceptable time.;PE;adj;acceptable
R601;14;A new user shall be able to navigate through the league and team pages within 30 seconds of reaching the start-up page.;US;adj;new
R823;42;Return to List is available if the patient loaded is not correct.;F;adj;available
R371;7;The System shall generate Inventory Quantity Adjustment document based on product daily sales data and product formulas.;F;adj;daily
R311;6;The product shall be translated into foreign languages other than the target market countries\92 languages in future releases.  For each emerging target market  it shall take no more than 5 days to configure the product for that market\92s language.;US;adj;foreign
R248;5;The preferred repair facility shall be returned to the user.;F;adj;preferred
R621;15;The intranet pages should display appropriately in all resolutions  from 800x600 and higher. The display of all the pages will be correct in 95% of the resolutions  prior to implementation. The remaining 5% will be corrected within a week of notification of the incorrect display.;LF;adj;higher
R6;1;The product shall ensure that it can only be accessed by authorized users.  The product will be able to distinguish between authorized and unauthorized users in all access attempts;SE;adj;unauthorized
R828;42;Customized information is displayed.;F;adj;Customized
R319;6;The product shall have the ability to receive automatic software updates as new threats emerge. 100% of customers will be able to receive automatic software updates transmitted to the installed product.;SE;adj;automatic
