ID;ID progetto;REQUISITO (testo);Classe dei requisiti;CATEGORIA;PAROLA
R191;4;"The Disputes System must provide a confirmation to the user upon the creation of a chargeback request. The confirmation must contain the following information; the dispute case number  the type of chargeback requested (pending or immediate)  and the date that the merchant response is due.";F;continuance;following
R565;12;The product shall be available 99% of the time. Rationale: To avoid service interruption during busiest customer service response periods. The product shall be available 99.99% of the time for regular business days.;A;continuance;:
R413;8;We must be able to interface with the following browsers: IE 5.X  6.0  Netscape 6.x  7.x  8.x and Firefox 1.0.;O;continuance;:
R72;3;The number of mistakes noted by the students shall be decreased by 50% in the first year.;US;directive;noted
R9;1;The system shall have a MDI form that allows for the viewing of the graph and the data table.;F;directive;table.
R13;1;The display shall have two regions:  left 2/3 of the display is graphical  right 1/3 of the display is a data table;F;directive;table
R174;4;The Disputes application must conform to the legal requirements as specified by Regulation E and Regulation Z that govern credit card disputes processing.;L;incompletes;as specified
R67;2;The system shall notify the realtor when a seller or buyer responds to an appointment request;F;optional;or
R276;6;The product must work with most database management systems (DBMS) on the market  whether the DBMS is colocated with the product on the same machine or is located on a different machine on the computer network.;O;optional;whether
R186;4;The Disputes System will provide the user the ability to create or initiate a ticket retrieval request.   As part of ticket retrieval creation process the system must prompt the user to enter all the required information to create the ticket retrieval request.  The ticket retrieval request is a document that is sent to merchant inquiring the validity of a transaction.;F;optional;or
R668;21;Programmers and application developers will have access to source code to address bugs or system enhancements as deemed necessary. Network Administrator and DBA support is also required to maintain a 24x7 system uptime.;A;optional;or
R521;10;The product shall maintain the status of each player for a turn  either offensive or defensive.;F;optional;either
R581;13;The system must use a point and click interface. 100% of all selection and navigation functionality must be able to be activated/selected by either a mouse or a keyboard;US;optional;or
R189;4;"The Disputes System must provide a confirmation to the user upon the creation of ticket retrieval request that contains the following information; the dispute case number  the type of retrieval requested (copy  original or portfolio)  and the date that the merchant response is due.";F;optional;or
R126;3;The system shall allow a Program Administrator or Nursing staff member to remove a student from a clinical lab section.;F;optional;or
R687;27;The system shall be capable of restoring itself to its previous state in the event of failure (e.g. a system crash or power loss).;FT;optional;or
R526;10;For each shot  the product shall mark the shot as a hit or miss on the defensive grid of the defensive player.;F;optional;or
R304;6;The product will be available for licensing as a one-server  two-five servers  or five-or-more servers license.;O;optional;or
R522;10;At the start of each turn  the product shall notify each player of his or her status.;F;optional;or
R679;25;The system shall show a tabbed display (or equivalent functionality) with the campus map on one tab and info on the most recently announced building on the other.;LF;optional;or
R20;1;The system shall link Events back to either the Sync Matrix 1.0 or the Exercise Managment Tool 1.0 applications for modifications.;F;optional;or
R507;10;The product shall allow a user to remove himself or herself from the list of players at any time.;F;optional;or
R27;1;The system shall provide charts for the Activity or Event actual versus assumed time.;F;optional;or
R813;40;All the passwords that are generated or accepted must be stored in database in an encrypted form.;SE;optional;or
R506;10;Once a game has been initiated  the product shall make the players assigned to the game unavailable for selection from the list of players.;F;plurals;players
R175;4;All business rules specified in the Disputes System shall be in compliance to the guidelines of Regulation E and Regulation Z.;L;plurals;Disputes
R117;3;Program Administrators and Nursing Staff Members shall have the ability to specify which classes are required for a Program of Study;F;plurals;Administrators
R703;29;Unauthorised users can only read data without modifying anything.;SE;plurals;users
R942;46;The performance shall depend upon hardware components of the client/customer.;PE;plurals;components
R118;3;The system shall be able to display a report of needed classes for a given quarter for all cohorts of all programs for Program Administrators/Nursing Staff Members\92 planning purposes.;F;plurals;purposes
R429;8;Only authorized personnel can access sales information.;SE;plurals;sales
R358;7;The System shall allow generation of Inventory Quantity Adjustment documents on demand.;F;plurals;documents
R614;15;98% of the user workstations shall meet the minimum software requirements prior to implementation: Microsoft Internet Explorer 5.0. Microsoft .NET Framework 1.1. Microsoft Internet Explorer Web Controls;O;plurals;requirements
R143;3;Program Administrators/Nursing Staff Members shall have the ability to modify information relating to cohorts including cohort identifier  program of study  preferred sequence of classes and quarters that a cohort will be taking specific classes.;F;plurals;Members
R362;7;Product formulas shall allow use of semi-products  which have own formulas.;F;plurals;formulas
R432;8;Data integrity scripts will be run on a weekly basis to verify the integrity of the database.;SE;plurals;scripts
R579;13;The system interface will use CCR nomenclature. The system must use the same nomenclature used in the existing WCS system and reports;LF;plurals;reports
R110;3;Program Administrators and Nursing Staff Members shall be able to add a new cohort to the system  identified by start month and year.;F;plurals;Members
R763;34;"An end-user may use this system on any OS; either it is Windows or Linux.";PO;plurals;Windows
R30;2;The user interface shall have standard menus buttons for navigation;LF;plurals;buttons
R301;6;The product must be able to interface with various email servers. The product shall be able to send email.;O;plurals;servers
R544;11;The system shall be responsive. At the DePaul TeleServices Center  when a supervisor uses the system to view a callers schedule  the system response time must be no more than 2 seconds 90% of the time and no more than 5 seconds the rest of the time.;PE;plurals;uses
