ID;ID progetto;REQUISITO (testo);Classe dei requisiti;CATEGORIA;PAROLA
R3;1;If projected  the data must be readable.  On a 10x10 projection screen  90% of viewers must be able to read Event / Activity data from a viewing distance of 30;US;adj;readable
R4;1;The product shall be available during normal business hours. As long as the user has access to the client PC  the system will be available 99% of the time during the first six months of operation.;A;adj;available
R4;1;The product shall be available during normal business hours. As long as the user has access to the client PC  the system will be available 99% of the time during the first six months of operation.;A;adj;first
R5;1;If projected  the data must be understandable. On a 10x10 projection screen  90% of viewers must be able to determine that Events or Activities are occuring in current time from a viewing distance of 100;US;adj;current
R6;1;The product shall ensure that it can only be accessed by authorized users.  The product will be able to distinguish between authorized and unauthorized users in all access attempts;SE;adj;authorized
R6;1;The product shall ensure that it can only be accessed by authorized users.  The product will be able to distinguish between authorized and unauthorized users in all access attempts;SE;adj;unauthorized
R7;1;The product shall be intuitive and self-explanatory. 90% of new users shall be able to start the display of Events or Activities within 90 minutes of using the product.;US;adj;intuitive
R7;1;The product shall be intuitive and self-explanatory. 90% of new users shall be able to start the display of Events or Activities within 90 minutes of using the product.;US;adj;explanatory
R7;1;The product shall be intuitive and self-explanatory. 90% of new users shall be able to start the display of Events or Activities within 90 minutes of using the product.;US;adj;new
R10;1;The system shall display Events in a vertical table by time.;F;adj;vertical
R13;1;The display shall have two regions:  left 2/3 of the display is graphical  right 1/3 of the display is a data table;F;adj;graphical
R13;1;The display shall have two regions:  left 2/3 of the display is graphical  right 1/3 of the display is a data table;F;adj;right
R15;1;The table side of the display shall be split into 2 regions: sequential and temporal.;F;adj;temporal
R16;1;The top 1/4 of the table will hold events that are to occur sequentially.;F;adj;top
R17;1;The bottom 3/4 of the table will hold events that occur according to its relevance to current time.;F;adj;current
R18;1;The system shall color code events according to their variance from current time.;F;adj;current
R23;1;The system shall filter data by: Venues and Key Events.;F;adj;Key
R25;1;The system shall display the local and exercise time in separate clocks;F;adj;local
R25;1;The system shall display the local and exercise time in separate clocks;F;adj;separate
R27;1;The system shall provide charts for the Activity or Event actual versus assumed time.;F;adj;actual
R29;2;The look and feel of the system shall conform to the user interface standards of the smart device.;LF;adj;smart
R30;2;The user interface shall have standard menus buttons for navigation;LF;adj;standard
R31;2;The system shall have a professional appearance;LF;adj;professional
R34;2;The system shall be intuitive and self explanatory.;US;adj;self explanatory
R34;2;The system shall be intuitive and self explanatory.;US;adj;intuitive
R37;2;The product shall produce search results in an acceptable time;PE;adj;acceptable
R39;2;The product shall generate a CMA report in an acceptable time.;PE;adj;acceptable
R41;2;The product shall synchronize contacts and appointments in an acceptable time.;PE;adj;acceptable
R43;2;The product shall be available for use 24 hours per day 365 days  per year;A;adj;available
R44;2;Out of 1000 accesses to the system the system is available 999 times.;A;adj;available
R45;2;The product shall operate in offline mode whenever internet connection is unavailable.;FT;adj;unavailable
R49;2;The product shall be able to support multiple remote users;SC;adj;multiple
R49;2;The product shall be able to support multiple remote users;SC;adj;remote
R50;2;The product shall be able support 1000 simultaneous users.;SC;adj;able
R50;2;The product shall be able support 1000 simultaneous users.;SC;adj;simultaneous
R51;2;The product shall be capable of handling the existing 1000 users. This number is expected to grow 5 times within the next year.;SC;adj;next
R52;2;The product shall be installed by an untrained realtor without recourse to separately-printed instructions.;US;adj;untrained
R53;2;90% of untrained realtors shall be able to install the product on their device without printed instructions;US;adj;untrained
R57;2;The product shall prevent its data from incorrect data being introduced.;SE;adj;incorrect
R61;2;The system shall display clear property images in the search results;F;adj;clear
R62;2;The system shall update or create new property listings in the MLS;F;adj;new
R63;2;Realtor shall be able to generate a CMA report based on property criteria;F;adj;based on
R65;2;The realtor shall be notified of new client appointments after automatic synchronization with office system;F;adj;new
R65;2;The realtor shall be notified of new client appointments after automatic synchronization with office system;F;adj;automatic
R66;2;The realtor shall be able to retrieve a map showing property locations for a specified area;F;adj;specified
R72;3;The number of mistakes noted by the students shall be decreased by 50% in the first year.;US;adj;first year
R73;3;The system shall be intuitive to the Program Administrators/Nursing Staff Members.;US;adj;intuitive
R76;3;The verbiage used within the system shall be consistent with Standard English and the terminology of the national Nursing Community.;US;adj;national
R79;3;The system shall be available for use between the hours of 8am and 6pm.;A;adj;available
R82;3;The system shall cater to 10 simultaneous users from 9am to 5pm.;SC;adj;simultaneous
R83;3;The system shall be capable of processing 100% of nursing students and their classes for the next 10 years.;SC;adj;next
R84;3;The system shall be expected to manage the nursing program curriculum and class/clinical scheduling for a minimum of 5 years.;SC;adj;clinical
R85;3;The system shall able to operate within a business office environment typical of the Nursing Department at DePaul University.;O;adj;typical
R87;3;The system shall operate within the Windows XP Professional operating system.;O;adj;Professional
R88;3;The system shall interface with CampusConnect\92s central server;O;adj;central
R89;3;The system shall interface with the faculty central server.;O;adj;central
R92;3;Only authorized users shall have access to clinical site information.;SE;adj;clinical
R93;3;Program Administrators/Nursing Staff Members are the only people who shall have access to clinical site details.;SE;adj;clinical
R94;3;Only authorized users shall have access to students\92 personal information.;SE;adj;personal
R95;3;Dr Susan Poslusny and Dr Julie Donalek are the only people who shall have access to students\92 personal information.;SE;adj;personal
R97;3;Fit Criterion: Dr Susan Poslusny and Karen Sysol are the only people who shall have access to the final class section scheduling for the system that interfaces with CampusConnect.;SE;adj;final
R98;3;The system shall have basic data integrity checking to reduce the possibility of incorrect or invalid data being introduced.;SE;adj;basic
R98;3;The system shall have basic data integrity checking to reduce the possibility of incorrect or invalid data being introduced.;SE;adj;incorrect
R98;3;The system shall have basic data integrity checking to reduce the possibility of incorrect or invalid data being introduced.;SE;adj;invalid
R99;3;The system shall protect private information in accordance with the organization\92s information policy.;SE;adj;private
R100;3;The system shall be built such that it is as secure as possible from malicious interference.;SE;adj;such that
R100;3;The system shall be built such that it is as secure as possible from malicious interference.;SE;adj;possible
R100;3;The system shall be built such that it is as secure as possible from malicious interference.;SE;adj;malicious
R104;3;Program Administrators and Nursing Staff Members shall be able to add a single student to a cohort;F;adj;single
R105;3;Students added to a cohort shall be eligible for the cohort\92s Program of Study.;F;adj;eligible
R106;3;Program Administrators and Nursing Staff Members shall be able to specify the preferred sequence of classes for a given cohort.;F;adj;preferred
R108;3;Program Administrators and Nursing Staff Members shall be able to add new classes to a sequence of classes;F;adj;new
R109;3;Program Administrators and Nursing Staff Members shall be able to add clinical classes or sections to a sequence of classes;F;adj;clinical
R110;3;Program Administrators and Nursing Staff Members shall be able to add a new cohort to the system  identified by start month and year.;F;adj;new
R111;3;Program Administrators and Nursing Staff Members shall be able to add new classes for the nursing department into the system.;F;adj;new
R112;3;A class shall be either a non-clinical class or a clinical class.;F;adj;clinical
R113;3;A non-clinical class shall specify the course name  lecture room requirements  and instructor needs.;F;adj;clinical
R114;3;A clinical class shall specify the course name  lecture room requirements  clinical site needs  lecture instructor needs  and clinical lab instructor needs.;F;adj;clinical
R115;3;Program Administrators/Nursing Staff Members shall be able to create a new Program of Study.;F;adj;new
R116;3;A Program of Study shall consist of a program name and listing of required classes (both clinical and non-clinical) that must be completed.;F;adj;clinical
R121;3;Program Administrators and Nursing Staff Members shall be able to add a new clinical site into the system.;F;adj;new
R121;3;Program Administrators and Nursing Staff Members shall be able to add a new clinical site into the system.;F;adj;clinical
R122;3;Clinical site information shall include (but not be limited to) the name of the site  contact person  and contact information.;F;adj;Clinical
R123;3;Program Administrators and Nursing Staff Members shall be able to add a new clinical lab section for an existing clinical class into the System.;F;adj;new
R123;3;Program Administrators and Nursing Staff Members shall be able to add a new clinical lab section for an existing clinical class into the System.;F;adj;clinical
R124;3;A clinical lab section shall include the clinical site name  the class  instructor  day and time of the lab.;F;adj;clinical
R125;3;Program Administrators and Nursing Staff Members shall be able to add a student who has registered for a clinical class to a clinical lab section for that class.;F;adj;clinical
R126;3;The system shall allow a Program Administrator or Nursing staff member to remove a student from a clinical lab section.;F;adj;clinical
R127;3;The system shall allow a Program Administrator/Nursing Staff Member to move a student from one clinical lab section to another clinical lab section corresponding to the same clinical class.;F;adj;clinical
R127;3;The system shall allow a Program Administrator/Nursing Staff Member to move a student from one clinical lab section to another clinical lab section corresponding to the same clinical class.;F;adj;same
R128;3;Program Administrators/Nursing Staff Members shall be able to cancel a clinical lab section only if there are no students registered for that clinical lab section.;F;adj;clinical
R129;3;A Program Administrator/Nursing Staff Member shall be able to add a new nursing student to the system.;F;adj;new
R131;3;The system shall be able to display a printable summary for individual cohorts  which will include the students enlisted  the Program of study  sequence of classes  cohort progress through the program  and timeline of completion.;F;adj;printable
R131;3;The system shall be able to display a printable summary for individual cohorts  which will include the students enlisted  the Program of study  sequence of classes  cohort progress through the program  and timeline of completion.;F;adj;individual
R132;3;The system shall be able to display a printable summary for individual clinical sites  which will include information on labs being held at that site for the given quarter (Clinical site  general information on labs held at that location  dates and times of all labs held there).;F;adj;printable
R132;3;The system shall be able to display a printable summary for individual clinical sites  which will include information on labs being held at that site for the given quarter (Clinical site  general information on labs held at that location  dates and times of all labs held there).;F;adj;individual
R132;3;The system shall be able to display a printable summary for individual clinical sites  which will include information on labs being held at that site for the given quarter (Clinical site  general information on labs held at that location  dates and times of all labs held there).;F;adj;clinical
R133;3;The system shall be able to display a printable summary for individual clinical labs  which will include (but not be limited to) class name  class number  lab section  listing of students enrolled  instructor  day(s)  time  and location.;F;adj;printable
R133;3;The system shall be able to display a printable summary for individual clinical labs  which will include (but not be limited to) class name  class number  lab section  listing of students enrolled  instructor  day(s)  time  and location.;F;adj;individual
