ID;ID progetto;REQUISITO (testo);Classe dei requisiti;CATEGORIA;PAROLA
R4;1;The product shall be available during normal business hours. As long as the user has access to the client PC  the system will be available 99% of the time during the first six months of operation.;A;adv;As
R4;1;The product shall be available during normal business hours. As long as the user has access to the client PC  the system will be available 99% of the time during the first six months of operation.;A;adv;long
R6;1;The product shall ensure that it can only be accessed by authorized users.  The product will be able to distinguish between authorized and unauthorized users in all access attempts;SE;adv;in all
R16;1;The top 1/4 of the table will hold events that are to occur sequentially.;F;adv;sequentially
R20;1;The system shall link Events back to either the Sync Matrix 1.0 or the Exercise Managment Tool 1.0 applications for modifications.;F;adv;back
R36;2;The product shall use symbols and words that are naturally understandable by the realtor community.;US;adv;naturally
R38;2;The search results shall be returned no later 30 seconds  after the user has entered the search criteria;PE;adv;no
R38;2;The search results shall be returned no later 30 seconds  after the user has entered the search criteria;PE;adv;later
R40;2;The CMA report shall be returned no later 60 seconds after the user has entered the CMA report criteria.;PE;adv;no
R40;2;The CMA report shall be returned no later 60 seconds after the user has entered the CMA report criteria.;PE;adv;later
R43;2;The product shall be available for use 24 hours per day 365 days  per year;A;adv;per year
R46;2;The product shall allow the user to view previously downloaded search results CMA reports  and appointments.;FT;adv;previously
R48;2;100% of saved user preferences shall be restored when system comes back online.;FT;adv;back
R52;2;The product shall be installed by an untrained realtor without recourse to separately-printed instructions.;US;adv;separately
R74;3;2 out of 3 Program Administrators/Nursing Staff Members shall successfully be able to use the system to manage the scheduling of classes and clinicals.;US;adv;successfully
R75;3;The system shall use symbols and words that are naturally understandable by the user community.;US;adv;naturally
R78;3;The response time of general student management tasks shall take no longer than 5 seconds and the response time of schedule generation shall take no longer than 30 seconds.;PE;adv;no longer
R100;3;The system shall be built such that it is as secure as possible from malicious interference.;SE;adv;as
R128;3;Program Administrators/Nursing Staff Members shall be able to cancel a clinical lab section only if there are no students registered for that clinical lab section.;F;adv;only if
R130;3;A staff member shall have the ability to manage the progress of a part time student  which includes modifying their sequence of classes and timeline of classes.;F;adv;part time
R142;3;The system will notify affected parties when changes occur affecting specific students  including but not limited to changing a student\92s status from full time to part time and moving a student to a different clinical section.;F;adv;full time
R142;3;The system will notify affected parties when changes occur affecting specific students  including but not limited to changing a student\92s status from full time to part time and moving a student to a different clinical section.;F;adv;part time
R147;3;Program Administrators/Nursing Staff Members shall have the ability to modify information relating to a Nursing Student  including student ID  student name phone number e-mail status (full time or part time) and program of study.;F;adv;full time
R147;3;Program Administrators/Nursing Staff Members shall have the ability to modify information relating to a Nursing Student  including student ID  student name phone number e-mail status (full time or part time) and program of study.;F;adv;part time
R148;4;The Disputes application shall comply with the corporate standards for user interface creation for internally and externally used applications.;LF;adv;internally
R148;4;The Disputes application shall comply with the corporate standards for user interface creation for internally and externally used applications.;LF;adv;externally
R151;4;100% of the cardmember and merchant services representatives shall use the Disputes application regularly after a 2-day training course.;US;adv;regularly
R152;4;100% of cardmember services representatives shall be able to successfully create a dispute case on the first encounter after completing the training course.;US;adv;successfully
R153;4;100% of merchant services representatives shall be able to successfully perform a follow up action on a dispute case on the first encounter after completing the training course.;US;adv;successfully
R154;4;The maximum wait time for a user navigating from one screen to another within the Disputes application shall be no more than 5 seconds.;PE;adv;no more
R165;4;All authorized users  once authenticated must be able to logon to the Disputes System;SE;adv;once
R176;4;The Disputes application must maintain a detailed history of every action that a user takes on a dispute case.  This ensures a complete audit trail if questions arise later on with regard to a particular dispute case.;L;adv;later on
R186;4;The Disputes System will provide the user the ability to create or initiate a ticket retrieval request.   As part of ticket retrieval creation process the system must prompt the user to enter all the required information to create the ticket retrieval request.  The ticket retrieval request is a document that is sent to merchant inquiring the validity of a transaction.;F;adv;that is
R187;4;The Disputes System must allow the user to create three unique types of ticket retrieval requests.  The three types of ticket retrieval requests are (1) Request for original receipt (2) Request for a copy of the receipt or (3) Request for a portfolio. A portfolio consists of documentation that would provide proof of a purchase such as the documentation that is received from a car rental agency that is more than a sales receipt.;F;adv;that is
R187;4;The Disputes System must allow the user to create three unique types of ticket retrieval requests.  The three types of ticket retrieval requests are (1) Request for original receipt (2) Request for a copy of the receipt or (3) Request for a portfolio. A portfolio consists of documentation that would provide proof of a purchase such as the documentation that is received from a car rental agency that is more than a sales receipt.;F;adv;more than
R190;4;The Disputes System shall allow the user to create or initiate a chargeback request.  The system must prompt the user to enter the required information to initiate a chargeback request. The chargeback request results in a printed chargeback notification that is sent to merchant indicating that their account will be charged back if no proof is provided that the disputed transaction is valid.;F;adv;that is
R190;4;The Disputes System shall allow the user to create or initiate a chargeback request.  The system must prompt the user to enter the required information to initiate a chargeback request. The chargeback request results in a printed chargeback notification that is sent to merchant indicating that their account will be charged back if no proof is provided that the disputed transaction is valid.;F;adv;back
R193;4;The Disputes System shall accurately provide a list of possible reason codes for a given transaction.  The list of possible reason codes must be derived based on the type of transaction and the industry that the merchant belongs to  according to the business rules defined for the Disputes System.;F;adv;accurately
R195;4;The Disputes System must provide Search functionality.  The search method must include the ability to search by (1) the dispute case number  (2) the merchant account number  (3) the cardmember account number and (4) the issuer number.  In addition to the above criteria  the search functionality must further allow the user to limit the results of the search by a date range  the type of dispute (ticket retrieval request or chargeback notification)  the case status (open  closed or all) and the dispute reason code.;F;adv;further
R203;5;The product must support Internet Explorer 5.5 and above.;O;adv;above
R204;5;The product must support Mozilla Firefox 1.0 and above.;O;adv;above
R216;5;The search for recycled parts shall take no longer than 15 seconds.  The search results shall be returned in under 15 seconds.;PE;adv;no longer
R217;5;The search for the preferred repair facility shall take no longer than 8 seconds.  The preferred repair facility is returned within 8 seconds;PE;adv;no longer
R221;5;The product shall achieve a 98% uptime. The product shall not fail more than 2% of the available online time.;A;adv;more than
R226;5;The product shall interface with the ChoiceParts system once per day at approximately 1:00 AM.;O;adv;once
R226;5;The product shall interface with the ChoiceParts system once per day at approximately 1:00 AM.;O;adv;approximately
R267;5;The audit report shall be available to other adjusters at later points in time.;F;adv;in time
R270;5;The system will display a blank set of ratings if there are not ratings yet defined.;F;adv;yet
R283;6;The product shall make the users want to use it. 80% of the users surveyed report they are regularly using the product after the first 2 weeks post-launch.;US;adv;regularly
R284;6;The product shall be easy to use. 90% of users will be able to successfully reserve a conference room within 5 minutes of product use.;US;adv;successfully
R285;6;The product shall give users feedback when necessary. 80% of the users surveyed report that the product accurately confirms their actions.;US;adv;accurately
R288;6;An employee will be able to successfully use the product within a few minutes.  After informally navigating the product for less than 15 minutes  users shall be able to successfully setup meetings and reserve conference rooms.;US;adv;less than
R288;6;An employee will be able to successfully use the product within a few minutes.  After informally navigating the product for less than 15 minutes  users shall be able to successfully setup meetings and reserve conference rooms.;US;adv;successfully
R288;6;An employee will be able to successfully use the product within a few minutes.  After informally navigating the product for less than 15 minutes  users shall be able to successfully setup meetings and reserve conference rooms.;US;adv;informally
R292;6;The response shall be fast enough to avoid interrupting the user\92s flow of thought.  90% of tasks shall complete within 5 seconds.  98% of tasks shall complete within 8 seconds.;PE;adv;enough
R293;6;Aside from server failure  the software product shall achieve 99.99% up time.;A;adv;Aside
R297;6;The product shall be expected to operate for at least 5 years for each customer installation.;SC;adv;at least
R299;6;The product must be able to interface with any HTML browser.  The product shall transmit data between the user and the product without problems. The product shall display HTML properly in 80% of all HTML browsers tested (minimum is to test 8 browsers).;O;adv;properly
R300;6;The product must be able to interface with various database management systems. The product shall communicate successfully with the database management system on 100% of all transactions.;O;adv;successfully
R307;6;The product must be highly configurable for use with various database management systems for the end users.  80% of end users are able to integrate new database management systems with the product without changing the product\92s software code.;MN;adv;highly
R308;6;Maintenance releases will be offered to customers once a year.  The releases shall take no longer than 5 minutes for 80% of the customer base to install.;MN;adv;no longer
R308;6;Maintenance releases will be offered to customers once a year.  The releases shall take no longer than 5 minutes for 80% of the customer base to install.;MN;adv;once
R311;6;The product shall be translated into foreign languages other than the target market countries\92 languages in future releases.  For each emerging target market  it shall take no more than 5 days to configure the product for that market\92s language.;US;adv;no more
R350;7;Recreation of Inventory Quantity Adjustment for the period of previous 30 days shall take no more than 30min.;PE;adv;no more
R352;7;The System shall utilize currently owned computer equipment.;O;adv;currently
R353;7;The System shall be able to automatically backup business data and restore them on demand.;O;adv;automatically
R354;7;The System shall maintain consistent security.  Any changes in user passwords and/or permissions should take affect in all parts of the System.;SE;adv;in all
R355;7;The System shall granularly control access rights to all major subsystems.  It should be possible to assign access rights to all subsystems independently.;SE;adv;independently
R356;7;The System shall meet all applicable accounting standards.  The final version of the System must successfully pass independent audit performed by a certified auditor.;L;adv;successfully
R360;7;The IQA subsystem shall take into account current inventory status and adjust inventory of substitutionary ingredients accordingly.;F;adv;accordingly
R364;7;Product formula substitutionary ingredients shall be entered automatically by the PFE subsystem.;F;adv;automatically
R369;7;PME Subsystem shall allow for a product to exist in more than one submenu;F;adv;more than
R372;7;The System shall generate Inventory Quantity Adjustment document automatically when daily Product Sales data is available.;F;adv;automatically
R378;8;System shall let customers cancel their account  process shall take no longer than 2 minutes.  Database will mark the account as inactive  and user will not be able to log into the website.;PE;adv;no longer
R379;8;System shall let administrator de-activate a customer account in under 1 minute. Customer will no longer be able to access the website.;PE;adv;no longer
R380;8;System shall let administrator add/remove movies on the website in under 5 minutes.  Entered movie information will be stored in the database and will now be available on the website.;PE;adv;now
R394;8;The product shall use symbols and words that are naturally understandable by users familiar with websites;US;adv;naturally
R398;8;When streaming a movie  the buffering time should take no longer than 10 seconds (plus any latency on the user\92s connection.);PE;adv;no longer
R401;8;The website shall be available for use 24 hours per day  365 days per year.;A;adv;per year
R404;8;The website shall continue to operate if the streaming server goes down.;FT;adv;down
R405;8;The website shall continue to operate if the payment gateway goes down.;FT;adv;down
