ID;ID progetto;REQUISITO (testo);Classe dei requisiti;CATEGORIA;PAROLA
R3;1;If projected  the data must be readable.  On a 10x10 projection screen  90% of viewers must be able to read Event / Activity data from a viewing distance of 30;US;conjunction;If
R5;1;If projected  the data must be understandable. On a 10x10 projection screen  90% of viewers must be able to determine that Events or Activities are occuring in current time from a viewing distance of 100;US;conjunction;If
R9;1;The system shall have a MDI form that allows for the viewing of the graph and the data table.;F;conjunction;for
R20;1;The system shall link Events back to either the Sync Matrix 1.0 or the Exercise Managment Tool 1.0 applications for modifications.;F;conjunction;for
R27;1;The system shall provide charts for the Activity or Event actual versus assumed time.;F;conjunction;for
R30;2;The user interface shall have standard menus buttons for navigation;LF;conjunction;for
R35;2;The product shall be easy for a realtor to learn.;US;conjunction;for
R43;2;The product shall be available for use 24 hours per day 365 days  per year;A;conjunction;for
R60;2;The user shall be able to download appointments and contact information for clients;F;conjunction;for
R66;2;The realtor shall be able to retrieve a map showing property locations for a specified area;F;conjunction;for
R71;3;The system shall help the user avoid making mistakes while scheduling classes and clinicals for the nursing students.;US;conjunction;for
R79;3;The system shall be available for use between the hours of 8am and 6pm.;A;conjunction;for
R83;3;The system shall be capable of processing 100% of nursing students and their classes for the next 10 years.;SC;conjunction;for
R84;3;The system shall be expected to manage the nursing program curriculum and class/clinical scheduling for a minimum of 5 years.;SC;conjunction;for
R97;3;Fit Criterion: Dr Susan Poslusny and Karen Sysol are the only people who shall have access to the final class section scheduling for the system that interfaces with CampusConnect.;SE;conjunction;for
R105;3;Students added to a cohort shall be eligible for the cohort\92s Program of Study.;F;conjunction;for
R106;3;Program Administrators and Nursing Staff Members shall be able to specify the preferred sequence of classes for a given cohort.;F;conjunction;for
R107;3;For each class within a sequence for a cohort  Program Administrators and Nursing Staff Members shall be able to specify which quarter that class will be offered.;F;conjunction;For
R107;3;For each class within a sequence for a cohort  Program Administrators and Nursing Staff Members shall be able to specify which quarter that class will be offered.;F;conjunction;for
R111;3;Program Administrators and Nursing Staff Members shall be able to add new classes for the nursing department into the system.;F;conjunction;for
R117;3;Program Administrators and Nursing Staff Members shall have the ability to specify which classes are required for a Program of Study;F;conjunction;for
R118;3;The system shall be able to display a report of needed classes for a given quarter for all cohorts of all programs for Program Administrators/Nursing Staff Members\92 planning purposes.;F;conjunction;for
R120;3;Classes for a given cohort shall not conflict with regards to the time and day that they are offered.;F;conjunction;for
R123;3;Program Administrators and Nursing Staff Members shall be able to add a new clinical lab section for an existing clinical class into the System.;F;conjunction;for
R125;3;Program Administrators and Nursing Staff Members shall be able to add a student who has registered for a clinical class to a clinical lab section for that class.;F;conjunction;for
R128;3;Program Administrators/Nursing Staff Members shall be able to cancel a clinical lab section only if there are no students registered for that clinical lab section.;F;conjunction;if
R128;3;Program Administrators/Nursing Staff Members shall be able to cancel a clinical lab section only if there are no students registered for that clinical lab section.;F;conjunction;for
R131;3;The system shall be able to display a printable summary for individual cohorts  which will include the students enlisted  the Program of study  sequence of classes  cohort progress through the program  and timeline of completion.;F;conjunction;for
R132;3;The system shall be able to display a printable summary for individual clinical sites  which will include information on labs being held at that site for the given quarter (Clinical site  general information on labs held at that location  dates and times of all labs held there).;F;conjunction;for
R133;3;The system shall be able to display a printable summary for individual clinical labs  which will include (but not be limited to) class name  class number  lab section  listing of students enrolled  instructor  day(s)  time  and location.;F;conjunction;for
R134;3;The system shall be able to display a printable summary for individual nursing students  which will include (but not be limited to) student name  student ID  admission date  classes  credits  GPA  and the cohort that the student is enrolled in.;F;conjunction;for
R136;3;The system shall contain contact information (e-mail and phone number) for all people relevant to the system  including (but not limited to) staff members  students  lecture instructors  clinical lab instructors  and clinical site administrators.;F;conjunction;for
R138;3;The system will notify affected parties for routine communication purposes  including but not limited to informing students of upcoming offered classes (timeline) and what their schedule will be/shall be.;F;conjunction;for
R140;3;The system will notify affected parties when changes occur affecting classes  including but not limited to class cancellations  class section detail changes  and changes to class offerings for a given quarter.;F;conjunction;for
R141;3;The system will notify affected parties when changes occur affecting cohorts  including but not limited to changes to the sequence for a cohort\92s program of study and changes to a given week\92s schedule (lab cancelled this week due to instructor illness).;F;conjunction;for
R144;3;Program Administrators/Nursing Staff Members shall have the ability to modify information relating to a Program of Study within the Nursing Department including the Program of study name  and required classes for that Program of Study.;F;conjunction;for
R146;3;Program Administrators/Nursing Staff Members shall have the ability to modify information relating to a Clinical Lab Section  including the clinical site name the department/section for the lab  the class instructor day and time of lab and contact information.;F;conjunction;for
R148;4;The Disputes application shall comply with the corporate standards for user interface creation for internally and externally used applications.;LF;conjunction;for
R149;4;All screens created as part of the Disputes application must comply with corporate standards for interface creation.;LF;conjunction;for
R150;4;The list of dispute cases that are displayed after a search is performed must be color coded for easy identification of dispute cases based upon the dispute case status.;US;conjunction;for
R154;4;The maximum wait time for a user navigating from one screen to another within the Disputes application shall be no more than 5 seconds.;PE;conjunction;for
R166;4;The Disputes System shall generate a User Report that details any new users that have been added and any changes to an existing user\92s access level. The report will be reviewed for auditing purposes.;SE;conjunction;for
R168;4;If a user account is revoked  it can only be re-instantiated by the System Administrator.;SE;conjunction;If
R176;4;The Disputes application must maintain a detailed history of every action that a user takes on a dispute case.  This ensures a complete audit trail if questions arise later on with regard to a particular dispute case.;L;conjunction;if
R182;4;The Disputes System shall provide view access capability for authorized users of the application.;F;conjunction;for
R183;4;The Disputes System shall provide update access capability for authorized users of the application.;F;conjunction;for
R187;4;The Disputes System must allow the user to create three unique types of ticket retrieval requests.  The three types of ticket retrieval requests are (1) Request for original receipt (2) Request for a copy of the receipt or (3) Request for a portfolio. A portfolio consists of documentation that would provide proof of a purchase such as the documentation that is received from a car rental agency that is more than a sales receipt.;F;conjunction;for
R188;4;The Disputes System must prevent external users from requesting original receipts. Requests for original receipts are restricted to internal users.;F;conjunction;for
R190;4;The Disputes System shall allow the user to create or initiate a chargeback request.  The system must prompt the user to enter the required information to initiate a chargeback request. The chargeback request results in a printed chargeback notification that is sent to merchant indicating that their account will be charged back if no proof is provided that the disputed transaction is valid.;F;conjunction;if
R193;4;The Disputes System shall accurately provide a list of possible reason codes for a given transaction.  The list of possible reason codes must be derived based on the type of transaction and the industry that the merchant belongs to  according to the business rules defined for the Disputes System.;F;conjunction;for
R198;4;The Dispute System shall provide the users with the ability to follow up on a dispute case via follow-up actions.  The list of available follow up actions for a given dispute case must be filtered by the status of the case and the access level of the user.;F;conjunction;for
R199;4;The Disputes System shall record the name of the user and the date for any activity that creates or modifies the disputes case in the system.  A detailed history of the actions taken on the case  including the date and the user that performed the action must be maintained for auditing purposes.;F;conjunction;for
R200;4;For any systematic (non-user initiated) action that occurs on a case such as the disputes aging process  a case activity will be generated.  Upon the next logon the user that initiated the dispute case must be notified that a systematic action has occurred on the dispute case.;F;conjunction;For
R202;4;Any disputes cases that have been closed for over 6 months must be purged from the online disputes database.;F;conjunction;for
R206;5;The product shall run on the existing hardware for all environments.;O;conjunction;for
R216;5;The search for recycled parts shall take no longer than 15 seconds.  The search results shall be returned in under 15 seconds.;PE;conjunction;for
R217;5;The search for the preferred repair facility shall take no longer than 8 seconds.  The preferred repair facility is returned within 8 seconds;PE;conjunction;for
R225;5;For estimators  the product shall be able to be operated in a repair facility during dirty and noisy conditions.;O;conjunction;For
R232;5;Only collision estimators shall search for recycled parts.  Users without the collision estimator role shall not have access to the search for recycled parts.;SE;conjunction;for
R240;5;The user shall search for the preferred repair facility using vehicle  vehicle location  and radius in miles;F;conjunction;for
R243;5;The system shall resolve the zipcode for the street address  city  and state if zipcode is unknown.;F;conjunction;for
R243;5;The system shall resolve the zipcode for the street address  city  and state if zipcode is unknown.;F;conjunction;if
R245;5;The system shall locate the preferred repair facility with the highest ratings for the input criteria;F;conjunction;for
R249;5;The system shall return a list of repair facilities within the radius if the preferred repair facility cannot be determined.;F;conjunction;if
R250;5;The estimator shall search for available recycled parts using damaged vehicle parts information.;F;conjunction;for
R251;5;The estimator shall search for available recycled parts using a list of preferred parts suppliers.;F;conjunction;for
R252;5;The system shall search for available recycled parts for the supplied vehicle parts and suppliers.;F;conjunction;for
R253;5;The estimator shall search by zipcode with a radius of 30 miles if no parts are found for the preferred parts suppliers;F;conjunction;if
R253;5;The estimator shall search by zipcode with a radius of 30 miles if no parts are found for the preferred parts suppliers;F;conjunction;for
R257;5;The estimator shall not apply recycled parts to the collision estimate if no available parts are returned.;F;conjunction;if
R270;5;The system will display a blank set of ratings if there are not ratings yet defined.;F;conjunction;if
R270;5;The system will display a blank set of ratings if there are not ratings yet defined.;F;conjunction;yet
R273;5;The ratings shall include categories for attempted use of recycled parts and actual use of recycled parts;F;conjunction;for
R287;6;The product shall allow for customization of start page and views preferences.;US;conjunction;for
R288;6;An employee will be able to successfully use the product within a few minutes.  After informally navigating the product for less than 15 minutes  users shall be able to successfully setup meetings and reserve conference rooms.;US;conjunction;for
R290;6;The product shall allow for intuitive searching of available conference rooms.;US;conjunction;for
R294;6;The product shall create an exception log of problems encountered within the product for transmission to our company for analysis and resolution.;FT;conjunction;for
R297;6;The product shall be expected to operate for at least 5 years for each customer installation.;SC;conjunction;for
R302;6;The product shall be available for distribution via the Internet as a binary or ZIP file.;O;conjunction;for
R303;6;The product shall be available for distribution as a packaged CD.;O;conjunction;for
R304;6;The product will be available for licensing as a one-server  two-five servers  or five-or-more servers license.;O;conjunction;for
R307;6;The product must be highly configurable for use with various database management systems for the end users.  80% of end users are able to integrate new database management systems with the product without changing the product\92s software code.;MN;conjunction;for
R308;6;Maintenance releases will be offered to customers once a year.  The releases shall take no longer than 5 minutes for 80% of the customer base to install.;MN;conjunction;for
R311;6;The product shall be translated into foreign languages other than the target market countries\92 languages in future releases.  For each emerging target market  it shall take no more than 5 days to configure the product for that market\92s language.;US;conjunction;For
R311;6;The product shall be translated into foreign languages other than the target market countries\92 languages in future releases.  For each emerging target market  it shall take no more than 5 days to configure the product for that market\92s language.;US;conjunction;for
R315;6;Only managers are able to perform search queries for reservations by user.  100% of all search queries for reservations by user shall be from logons of only management logons.;SE;conjunction;for
R349;6;The product will display an available status for unreserved conference rooms.;F;conjunction;for
R350;7;Recreation of Inventory Quantity Adjustment for the period of previous 30 days shall take no more than 30min.;PE;conjunction;for
R351;7;The System shall allow for a minimum of  6 users to work at the same time.;PE;conjunction;for
R369;7;PME Subsystem shall allow for a product to exist in more than one submenu;F;conjunction;for
R393;8;The product shall be easy for customers with novice skills on the  Internet to purchase and watch streaming movies.  Customers should be able to purchase and watch a pre-determined movie in under 3 minutes.;US;conjunction;for
