ID;ID progetto;REQUISITO (testo);Classe dei requisiti;CATEGORIA;PAROLA
R1;1;The system shall refresh the display every 60 seconds.;PE;det;The
R1;1;The system shall refresh the display every 60 seconds.;PE;det;the
R1;1;The system shall refresh the display every 60 seconds.;PE;det;every
R2;1;The application shall match the color of the schema set forth by Department of Homeland Security;LF;det;The
R2;1;The application shall match the color of the schema set forth by Department of Homeland Security;LF;det;the
R3;1;If projected  the data must be readable.  On a 10x10 projection screen  90% of viewers must be able to read Event / Activity data from a viewing distance of 30;US;det;the
R3;1;If projected  the data must be readable.  On a 10x10 projection screen  90% of viewers must be able to read Event / Activity data from a viewing distance of 30;US;det;a
R4;1;The product shall be available during normal business hours. As long as the user has access to the client PC  the system will be available 99% of the time during the first six months of operation.;A;det;The
R4;1;The product shall be available during normal business hours. As long as the user has access to the client PC  the system will be available 99% of the time during the first six months of operation.;A;det;the
R5;1;If projected  the data must be understandable. On a 10x10 projection screen  90% of viewers must be able to determine that Events or Activities are occuring in current time from a viewing distance of 100;US;det;the
R5;1;If projected  the data must be understandable. On a 10x10 projection screen  90% of viewers must be able to determine that Events or Activities are occuring in current time from a viewing distance of 100;US;det;a
R6;1;The product shall ensure that it can only be accessed by authorized users.  The product will be able to distinguish between authorized and unauthorized users in all access attempts;SE;det;The
R7;1;The product shall be intuitive and self-explanatory. 90% of new users shall be able to start the display of Events or Activities within 90 minutes of using the product.;US;det;The
R7;1;The product shall be intuitive and self-explanatory. 90% of new users shall be able to start the display of Events or Activities within 90 minutes of using the product.;US;det;the
R8;1;The product shall respond fast to keep up-to-date data in the display.;PE;det;The
R8;1;The product shall respond fast to keep up-to-date data in the display.;PE;det;the
R9;1;The system shall have a MDI form that allows for the viewing of the graph and the data table.;F;det;The
R9;1;The system shall have a MDI form that allows for the viewing of the graph and the data table.;F;det;a
R9;1;The system shall have a MDI form that allows for the viewing of the graph and the data table.;F;det;the
R10;1;The system shall display Events in a vertical table by time.;F;det;The
R10;1;The system shall display Events in a vertical table by time.;F;det;a
R11;1;The system shall display the Events in a graph by time.;F;det;The
R11;1;The system shall display the Events in a graph by time.;F;det;the
R11;1;The system shall display the Events in a graph by time.;F;det;a
R12;1;The system shall display Events or Activities.;F;det;The
R13;1;The display shall have two regions:  left 2/3 of the display is graphical  right 1/3 of the display is a data table;F;det;The
R13;1;The display shall have two regions:  left 2/3 of the display is graphical  right 1/3 of the display is a data table;F;det;the
R13;1;The display shall have two regions:  left 2/3 of the display is graphical  right 1/3 of the display is a data table;F;det;a
R14;1;The data displayed in both the nodes within the graph and the rows in the table are MSEL Summary data;F;det;The
R14;1;The data displayed in both the nodes within the graph and the rows in the table are MSEL Summary data;F;det;the
R15;1;The table side of the display shall be split into 2 regions: sequential and temporal.;F;det;The
R15;1;The table side of the display shall be split into 2 regions: sequential and temporal.;F;det;the
R16;1;The top 1/4 of the table will hold events that are to occur sequentially.;F;det;The
R16;1;The top 1/4 of the table will hold events that are to occur sequentially.;F;det;the
R17;1;The bottom 3/4 of the table will hold events that occur according to its relevance to current time.;F;det;The
R17;1;The bottom 3/4 of the table will hold events that occur according to its relevance to current time.;F;det;the
R18;1;The system shall color code events according to their variance from current time.;F;det;The
R19;1;The system shall display data from the Sync Matrix 1.0 and Exercise Management Tool 1.0 applications;F;det;The
R19;1;The system shall display data from the Sync Matrix 1.0 and Exercise Management Tool 1.0 applications;F;det;the
R20;1;The system shall link Events back to either the Sync Matrix 1.0 or the Exercise Managment Tool 1.0 applications for modifications.;F;det;The
R20;1;The system shall link Events back to either the Sync Matrix 1.0 or the Exercise Managment Tool 1.0 applications for modifications.;F;det;the
R21;1;The system shall allow modification of the display.;F;det;The
R21;1;The system shall allow modification of the display.;F;det;the
R22;1;The system shall offer a display of all the Events in the exercise.;F;det;The
R22;1;The system shall offer a display of all the Events in the exercise.;F;det;a
R22;1;The system shall offer a display of all the Events in the exercise.;F;det;the
R23;1;The system shall filter data by: Venues and Key Events.;F;det;The
R24;1;The system shall allow a user to define the time segments;F;det;The
R24;1;The system shall allow a user to define the time segments;F;det;a
R24;1;The system shall allow a user to define the time segments;F;det;the
R25;1;The system shall display the local and exercise time in separate clocks;F;det;The
R25;1;The system shall display the local and exercise time in separate clocks;F;det;the
R26;1;The system shall offer the ability to pause and resume the refresh of data.;F;det;The
R26;1;The system shall offer the ability to pause and resume the refresh of data.;F;det;the
R27;1;The system shall provide charts for the Activity or Event actual versus assumed time.;F;det;The
R27;1;The system shall provide charts for the Activity or Event actual versus assumed time.;F;det;the
R28;1;The system shall provide a history report of changes made to the Activity or Event data;F;det;The
R28;1;The system shall provide a history report of changes made to the Activity or Event data;F;det;a
R28;1;The system shall provide a history report of changes made to the Activity or Event data;F;det;the
R29;2;The look and feel of the system shall conform to the user interface standards of the smart device.;LF;det;The
R29;2;The look and feel of the system shall conform to the user interface standards of the smart device.;LF;det;the
R30;2;The user interface shall have standard menus buttons for navigation;LF;det;The
R31;2;The system shall have a professional appearance;LF;det;The
R31;2;The system shall have a professional appearance;LF;det;a
R32;2;The product shall have a consistent color scheme and fonts.;LF;det;The
R32;2;The product shall have a consistent color scheme and fonts.;LF;det;a
R33;2;The system shall be used by realtors with no training.;US;det;The
R33;2;The system shall be used by realtors with no training.;US;det;no
R34;2;The system shall be intuitive and self explanatory.;US;det;The
R35;2;The product shall be easy for a realtor to learn.;US;det;The
R35;2;The product shall be easy for a realtor to learn.;US;det;a
R36;2;The product shall use symbols and words that are naturally understandable by the realtor community.;US;det;The
R36;2;The product shall use symbols and words that are naturally understandable by the realtor community.;US;det;the
R37;2;The product shall produce search results in an acceptable time;PE;det;The
R37;2;The product shall produce search results in an acceptable time;PE;det;an
R38;2;The search results shall be returned no later 30 seconds  after the user has entered the search criteria;PE;det;The
R38;2;The search results shall be returned no later 30 seconds  after the user has entered the search criteria;PE;det;the
R39;2;The product shall generate a CMA report in an acceptable time.;PE;det;The
R39;2;The product shall generate a CMA report in an acceptable time.;PE;det;a
R39;2;The product shall generate a CMA report in an acceptable time.;PE;det;an
R40;2;The CMA report shall be returned no later 60 seconds after the user has entered the CMA report criteria.;PE;det;The
R40;2;The CMA report shall be returned no later 60 seconds after the user has entered the CMA report criteria.;PE;det;the
R41;2;The product shall synchronize contacts and appointments in an acceptable time.;PE;det;The
R41;2;The product shall synchronize contacts and appointments in an acceptable time.;PE;det;an
R42;2;The product shall synchronize with the office system every hour.;PE;det;The
R42;2;The product shall synchronize with the office system every hour.;PE;det;the
