ID;ID progetto;REQUISITO (testo);Classe dei requisiti;CATEGORIA;PAROLA
R1;1;The system shall refresh the display every 60 seconds.;PE;mv;shall
R2;1;The application shall match the color of the schema set forth by Department of Homeland Security;LF;mv;shall
R3;1;If projected  the data must be readable.  On a 10x10 projection screen  90% of viewers must be able to read Event / Activity data from a viewing distance of 30;US;mv;must
R4;1;The product shall be available during normal business hours. As long as the user has access to the client PC  the system will be available 99% of the time during the first six months of operation.;A;mv;shall
R4;1;The product shall be available during normal business hours. As long as the user has access to the client PC  the system will be available 99% of the time during the first six months of operation.;A;mv;will
R5;1;If projected  the data must be understandable. On a 10x10 projection screen  90% of viewers must be able to determine that Events or Activities are occuring in current time from a viewing distance of 100;US;mv;must
R6;1;The product shall ensure that it can only be accessed by authorized users.  The product will be able to distinguish between authorized and unauthorized users in all access attempts;SE;mv;shall
R6;1;The product shall ensure that it can only be accessed by authorized users.  The product will be able to distinguish between authorized and unauthorized users in all access attempts;SE;mv;can
R6;1;The product shall ensure that it can only be accessed by authorized users.  The product will be able to distinguish between authorized and unauthorized users in all access attempts;SE;mv;will
R7;1;The product shall be intuitive and self-explanatory. 90% of new users shall be able to start the display of Events or Activities within 90 minutes of using the product.;US;mv;shall
R8;1;The product shall respond fast to keep up-to-date data in the display.;PE;mv;shall
R9;1;The system shall have a MDI form that allows for the viewing of the graph and the data table.;F;mv;shall
R10;1;The system shall display Events in a vertical table by time.;F;mv;shall
R11;1;The system shall display the Events in a graph by time.;F;mv;shall
R12;1;The system shall display Events or Activities.;F;mv;shall
R13;1;The display shall have two regions:  left 2/3 of the display is graphical  right 1/3 of the display is a data table;F;mv;shall
R15;1;The table side of the display shall be split into 2 regions: sequential and temporal.;F;mv;shall
R16;1;The top 1/4 of the table will hold events that are to occur sequentially.;F;mv;will
R17;1;The bottom 3/4 of the table will hold events that occur according to its relevance to current time.;F;mv;will
R18;1;The system shall color code events according to their variance from current time.;F;mv;shall
R19;1;The system shall display data from the Sync Matrix 1.0 and Exercise Management Tool 1.0 applications;F;mv;shall
R20;1;The system shall link Events back to either the Sync Matrix 1.0 or the Exercise Managment Tool 1.0 applications for modifications.;F;mv;shall
R21;1;The system shall allow modification of the display.;F;mv;shall
R22;1;The system shall offer a display of all the Events in the exercise.;F;mv;shall
R23;1;The system shall filter data by: Venues and Key Events.;F;mv;shall
R24;1;The system shall allow a user to define the time segments;F;mv;shall
R25;1;The system shall display the local and exercise time in separate clocks;F;mv;shall
R26;1;The system shall offer the ability to pause and resume the refresh of data.;F;mv;shall
R27;1;The system shall provide charts for the Activity or Event actual versus assumed time.;F;mv;shall
R28;1;The system shall provide a history report of changes made to the Activity or Event data;F;mv;shall
R29;2;The look and feel of the system shall conform to the user interface standards of the smart device.;LF;mv;shall
R30;2;The user interface shall have standard menus buttons for navigation;LF;mv;shall
R31;2;The system shall have a professional appearance;LF;mv;shall
R32;2;The product shall have a consistent color scheme and fonts.;LF;mv;shall
R33;2;The system shall be used by realtors with no training.;US;mv;shall
R34;2;The system shall be intuitive and self explanatory.;US;mv;shall
R35;2;The product shall be easy for a realtor to learn.;US;mv;shall
R36;2;The product shall use symbols and words that are naturally understandable by the realtor community.;US;mv;shall
R37;2;The product shall produce search results in an acceptable time;PE;mv;shall
R38;2;The search results shall be returned no later 30 seconds  after the user has entered the search criteria;PE;mv;shall
R39;2;The product shall generate a CMA report in an acceptable time.;PE;mv;shall
R40;2;The CMA report shall be returned no later 60 seconds after the user has entered the CMA report criteria.;PE;mv;shall
R41;2;The product shall synchronize contacts and appointments in an acceptable time.;PE;mv;shall
R42;2;The product shall synchronize with the office system every hour.;PE;mv;shall
R43;2;The product shall be available for use 24 hours per day 365 days  per year;A;mv;shall
R45;2;The product shall operate in offline mode whenever internet connection is unavailable.;FT;mv;shall
R46;2;The product shall allow the user to view previously downloaded search results CMA reports  and appointments.;FT;mv;shall
R47;2;The product shall retain user preferences in the event of a failure.;FT;mv;shall
R48;2;100% of saved user preferences shall be restored when system comes back online.;FT;mv;shall
R49;2;The product shall be able to support multiple remote users;SC;mv;shall
R50;2;The product shall be able support 1000 simultaneous users.;SC;mv;shall
R51;2;The product shall be capable of handling the existing 1000 users. This number is expected to grow 5 times within the next year.;SC;mv;shall
R52;2;The product shall be installed by an untrained realtor without recourse to separately-printed instructions.;US;mv;shall
R53;2;90% of untrained realtors shall be able to install the product on their device without printed instructions;US;mv;shall
R55;2;Only registered realtors shall be able to access the system.;SE;mv;shall
R56;2;Every user of the system shall be authenticated and authorized.;SE;mv;shall
R57;2;The product shall prevent its data from incorrect data being introduced.;SE;mv;shall
R58;2;The system shall allow a real estate agent to query MLS information;F;mv;shall
R59;2;The user shall be able to get driving directions to a selected property;F;mv;shall
R60;2;The user shall be able to download appointments and contact information for clients;F;mv;shall
R61;2;The system shall display clear property images in the search results;F;mv;shall
R62;2;The system shall update or create new property listings in the MLS;F;mv;shall
R63;2;Realtor shall be able to generate a CMA report based on property criteria;F;mv;shall
