ID;ID progetto;REQUISITO (testo);Classe dei requisiti;CATEGORIA;PAROLA
R1;1;The system shall refresh the display every 60 seconds.;PE;noun;system
R1;1;The system shall refresh the display every 60 seconds.;PE;noun;display
R1;1;The system shall refresh the display every 60 seconds.;PE;noun;seconds
R2;1;The application shall match the color of the schema set forth by Department of Homeland Security;LF;noun;Homeland Security
R2;1;The application shall match the color of the schema set forth by Department of Homeland Security;LF;noun;application
R2;1;The application shall match the color of the schema set forth by Department of Homeland Security;LF;noun;color
R2;1;The application shall match the color of the schema set forth by Department of Homeland Security;LF;noun;schema
R2;1;The application shall match the color of the schema set forth by Department of Homeland Security;LF;noun;Department
R3;1;If projected  the data must be readable.  On a 10x10 projection screen  90% of viewers must be able to read Event / Activity data from a viewing distance of 30;US;noun;projection screen
R3;1;If projected  the data must be readable.  On a 10x10 projection screen  90% of viewers must be able to read Event / Activity data from a viewing distance of 30;US;noun;data
R3;1;If projected  the data must be readable.  On a 10x10 projection screen  90% of viewers must be able to read Event / Activity data from a viewing distance of 30;US;noun;Event
R3;1;If projected  the data must be readable.  On a 10x10 projection screen  90% of viewers must be able to read Event / Activity data from a viewing distance of 30;US;noun;Activity
R3;1;If projected  the data must be readable.  On a 10x10 projection screen  90% of viewers must be able to read Event / Activity data from a viewing distance of 30;US;noun;distance
R4;1;The product shall be available during normal business hours. As long as the user has access to the client PC  the system will be available 99% of the time during the first six months of operation.;A;noun;product
R4;1;The product shall be available during normal business hours. As long as the user has access to the client PC  the system will be available 99% of the time during the first six months of operation.;A;noun;business
R4;1;The product shall be available during normal business hours. As long as the user has access to the client PC  the system will be available 99% of the time during the first six months of operation.;A;noun;hours
R4;1;The product shall be available during normal business hours. As long as the user has access to the client PC  the system will be available 99% of the time during the first six months of operation.;A;noun;user
R4;1;The product shall be available during normal business hours. As long as the user has access to the client PC  the system will be available 99% of the time during the first six months of operation.;A;noun;access
R4;1;The product shall be available during normal business hours. As long as the user has access to the client PC  the system will be available 99% of the time during the first six months of operation.;A;noun;client
R4;1;The product shall be available during normal business hours. As long as the user has access to the client PC  the system will be available 99% of the time during the first six months of operation.;A;noun;PC
R4;1;The product shall be available during normal business hours. As long as the user has access to the client PC  the system will be available 99% of the time during the first six months of operation.;A;noun;system
R4;1;The product shall be available during normal business hours. As long as the user has access to the client PC  the system will be available 99% of the time during the first six months of operation.;A;noun;time
R4;1;The product shall be available during normal business hours. As long as the user has access to the client PC  the system will be available 99% of the time during the first six months of operation.;A;noun;months
R4;1;The product shall be available during normal business hours. As long as the user has access to the client PC  the system will be available 99% of the time during the first six months of operation.;A;noun;operation
R5;1;If projected  the data must be understandable. On a 10x10 projection screen  90% of viewers must be able to determine that Events or Activities are occuring in current time from a viewing distance of 100;US;noun;projection screen
R5;1;If projected  the data must be understandable. On a 10x10 projection screen  90% of viewers must be able to determine that Events or Activities are occuring in current time from a viewing distance of 100;US;noun;data
R5;1;If projected  the data must be understandable. On a 10x10 projection screen  90% of viewers must be able to determine that Events or Activities are occuring in current time from a viewing distance of 100;US;noun;time
R5;1;If projected  the data must be understandable. On a 10x10 projection screen  90% of viewers must be able to determine that Events or Activities are occuring in current time from a viewing distance of 100;US;noun;distance
R6;1;The product shall ensure that it can only be accessed by authorized users.  The product will be able to distinguish between authorized and unauthorized users in all access attempts;SE;noun;product
R6;1;The product shall ensure that it can only be accessed by authorized users.  The product will be able to distinguish between authorized and unauthorized users in all access attempts;SE;noun;access
R6;1;The product shall ensure that it can only be accessed by authorized users.  The product will be able to distinguish between authorized and unauthorized users in all access attempts;SE;noun;attempts
R7;1;The product shall be intuitive and self-explanatory. 90% of new users shall be able to start the display of Events or Activities within 90 minutes of using the product.;US;noun;product
R7;1;The product shall be intuitive and self-explanatory. 90% of new users shall be able to start the display of Events or Activities within 90 minutes of using the product.;US;noun;self
R7;1;The product shall be intuitive and self-explanatory. 90% of new users shall be able to start the display of Events or Activities within 90 minutes of using the product.;US;noun;display
R7;1;The product shall be intuitive and self-explanatory. 90% of new users shall be able to start the display of Events or Activities within 90 minutes of using the product.;US;noun;minutes
R8;1;The product shall respond fast to keep up-to-date data in the display.;PE;noun;product
R8;1;The product shall respond fast to keep up-to-date data in the display.;PE;noun;date
R8;1;The product shall respond fast to keep up-to-date data in the display.;PE;noun;data
R8;1;The product shall respond fast to keep up-to-date data in the display.;PE;noun;display
R9;1;The system shall have a MDI form that allows for the viewing of the graph and the data table.;F;noun;system
R9;1;The system shall have a MDI form that allows for the viewing of the graph and the data table.;F;noun;MDI
R9;1;The system shall have a MDI form that allows for the viewing of the graph and the data table.;F;noun;form
R9;1;The system shall have a MDI form that allows for the viewing of the graph and the data table.;F;noun;viewing
R9;1;The system shall have a MDI form that allows for the viewing of the graph and the data table.;F;noun;graph
R9;1;The system shall have a MDI form that allows for the viewing of the graph and the data table.;F;noun;data
R9;1;The system shall have a MDI form that allows for the viewing of the graph and the data table.;F;noun;table
R10;1;The system shall display Events in a vertical table by time.;F;noun;system
R10;1;The system shall display Events in a vertical table by time.;F;noun;table
R10;1;The system shall display Events in a vertical table by time.;F;noun;time
R11;1;The system shall display the Events in a graph by time.;F;noun;system
R11;1;The system shall display the Events in a graph by time.;F;noun;graph
R11;1;The system shall display the Events in a graph by time.;F;noun;time
R12;1;The system shall display Events or Activities.;F;noun;system
R13;1;The display shall have two regions:  left 2/3 of the display is graphical  right 1/3 of the display is a data table;F;noun;display
R13;1;The display shall have two regions:  left 2/3 of the display is graphical  right 1/3 of the display is a data table;F;noun;data
R13;1;The display shall have two regions:  left 2/3 of the display is graphical  right 1/3 of the display is a data table;F;noun;table
R14;1;The data displayed in both the nodes within the graph and the rows in the table are MSEL Summary data;F;noun;data
R14;1;The data displayed in both the nodes within the graph and the rows in the table are MSEL Summary data;F;noun;graph
