ID;ID progetto;REQUISITO (testo);Classe dei requisiti;CATEGORIA;PAROLA
R5;1;If projected  the data must be understandable. On a 10x10 projection screen  90% of viewers must be able to determine that Events or Activities are occuring in current time from a viewing distance of 100;US;optional;or
R7;1;The product shall be intuitive and self-explanatory. 90% of new users shall be able to start the display of Events or Activities within 90 minutes of using the product.;US;optional;or
R12;1;The system shall display Events or Activities.;F;optional;or
R20;1;The system shall link Events back to either the Sync Matrix 1.0 or the Exercise Managment Tool 1.0 applications for modifications.;F;optional;either
R20;1;The system shall link Events back to either the Sync Matrix 1.0 or the Exercise Managment Tool 1.0 applications for modifications.;F;optional;or
R27;1;The system shall provide charts for the Activity or Event actual versus assumed time.;F;optional;or
R28;1;The system shall provide a history report of changes made to the Activity or Event data;F;optional;or
R62;2;The system shall update or create new property listings in the MLS;F;optional;or
R64;2;The system shall be able to call the seller or buyer to schedule an appointment;F;optional;or
R67;2;The system shall notify the realtor when a seller or buyer responds to an appointment request;F;optional;or
R98;3;The system shall have basic data integrity checking to reduce the possibility of incorrect or invalid data being introduced.;SE;optional;or
R109;3;Program Administrators and Nursing Staff Members shall be able to add clinical classes or sections to a sequence of classes;F;optional;or
R112;3;A class shall be either a non-clinical class or a clinical class.;F;optional;either
R112;3;A class shall be either a non-clinical class or a clinical class.;F;optional;or
R126;3;The system shall allow a Program Administrator or Nursing staff member to remove a student from a clinical lab section.;F;optional;or
R147;3;Program Administrators/Nursing Staff Members shall have the ability to modify information relating to a Nursing Student  including student ID  student name phone number e-mail status (full time or part time) and program of study.;F;optional;or
R170;4;The Disputes application shall manipulate and view business data. Users will not have direct access to data files or databases.;SE;optional;or
R171;4;All updates to data files or database must be initiated from the Disputes System.;SE;optional;or
R184;4;The Disputes System must allow the users to select disputable transactions (based on the age of the transaction) from a user interface and initiate a dispute (ticket retrieval request or chargeback notification) on the selected transaction.;F;optional;or
R186;4;The Disputes System will provide the user the ability to create or initiate a ticket retrieval request.   As part of ticket retrieval creation process the system must prompt the user to enter all the required information to create the ticket retrieval request.  The ticket retrieval request is a document that is sent to merchant inquiring the validity of a transaction.;F;optional;or
R187;4;The Disputes System must allow the user to create three unique types of ticket retrieval requests.  The three types of ticket retrieval requests are (1) Request for original receipt (2) Request for a copy of the receipt or (3) Request for a portfolio. A portfolio consists of documentation that would provide proof of a purchase such as the documentation that is received from a car rental agency that is more than a sales receipt.;F;optional;or
