ID;ID progetto;REQUISITO (testo);Classe dei requisiti;CATEGORIA;PAROLA
R3;1;If projected  the data must be readable.  On a 10x10 projection screen  90% of viewers must be able to read Event / Activity data from a viewing distance of 30;US;plurals;viewers
R5;1;If projected  the data must be understandable. On a 10x10 projection screen  90% of viewers must be able to determine that Events or Activities are occuring in current time from a viewing distance of 100;US;plurals;viewers
R6;1;The product shall ensure that it can only be accessed by authorized users.  The product will be able to distinguish between authorized and unauthorized users in all access attempts;SE;plurals;users
R7;1;The product shall be intuitive and self-explanatory. 90% of new users shall be able to start the display of Events or Activities within 90 minutes of using the product.;US;plurals;users
R7;1;The product shall be intuitive and self-explanatory. 90% of new users shall be able to start the display of Events or Activities within 90 minutes of using the product.;US;plurals;Events
R10;1;The system shall display Events in a vertical table by time.;F;plurals;Events
R11;1;The system shall display the Events in a graph by time.;F;plurals;Events
R12;1;The system shall display Events or Activities.;F;plurals;Events
R13;1;The display shall have two regions:  left 2/3 of the display is graphical  right 1/3 of the display is a data table;F;plurals;regions
R14;1;The data displayed in both the nodes within the graph and the rows in the table are MSEL Summary data;F;plurals;nodes
R14;1;The data displayed in both the nodes within the graph and the rows in the table are MSEL Summary data;F;plurals;rows
R15;1;The table side of the display shall be split into 2 regions: sequential and temporal.;F;plurals;regions
R16;1;The top 1/4 of the table will hold events that are to occur sequentially.;F;plurals;events
R17;1;The bottom 3/4 of the table will hold events that occur according to its relevance to current time.;F;plurals;events
R18;1;The system shall color code events according to their variance from current time.;F;plurals;events
R19;1;The system shall display data from the Sync Matrix 1.0 and Exercise Management Tool 1.0 applications;F;plurals;applications
R20;1;The system shall link Events back to either the Sync Matrix 1.0 or the Exercise Managment Tool 1.0 applications for modifications.;F;plurals;Events
R20;1;The system shall link Events back to either the Sync Matrix 1.0 or the Exercise Managment Tool 1.0 applications for modifications.;F;plurals;applications
R20;1;The system shall link Events back to either the Sync Matrix 1.0 or the Exercise Managment Tool 1.0 applications for modifications.;F;plurals;modifications
R22;1;The system shall offer a display of all the Events in the exercise.;F;plurals;Events
R23;1;The system shall filter data by: Venues and Key Events.;F;plurals;Venues
R23;1;The system shall filter data by: Venues and Key Events.;F;plurals;Events
R24;1;The system shall allow a user to define the time segments;F;plurals;segments
R25;1;The system shall display the local and exercise time in separate clocks;F;plurals;clocks
R27;1;The system shall provide charts for the Activity or Event actual versus assumed time.;F;plurals;charts
R28;1;The system shall provide a history report of changes made to the Activity or Event data;F;plurals;changes
