ID;ID progetto;REQUISITO (testo);Classe dei requisiti;CATEGORIA;PAROLA
R6;1;The product shall ensure that it can only be accessed by authorized users.  The product will be able to distinguish between authorized and unauthorized users in all access attempts;SE;pronoun;it
R9;1;The system shall have a MDI form that allows for the viewing of the graph and the data table.;F;pronoun;that
R16;1;The top 1/4 of the table will hold events that are to occur sequentially.;F;pronoun;that
R17;1;The bottom 3/4 of the table will hold events that occur according to its relevance to current time.;F;pronoun;that
R17;1;The bottom 3/4 of the table will hold events that occur according to its relevance to current time.;F;pronoun;its
R18;1;The system shall color code events according to their variance from current time.;F;pronoun;their
R36;2;The product shall use symbols and words that are naturally understandable by the realtor community.;US;pronoun;that
R53;2;90% of untrained realtors shall be able to install the product on their device without printed instructions;US;pronoun;their
R57;2;The product shall prevent its data from incorrect data being introduced.;SE;pronoun;its
R75;3;The system shall use symbols and words that are naturally understandable by the user community.;US;pronoun;that
R83;3;The system shall be capable of processing 100% of nursing students and their classes for the next 10 years.;SC;pronoun;their
R91;3;We must be able to interface with any HTML browser.;O;pronoun;We
R93;3;Program Administrators/Nursing Staff Members are the only people who shall have access to clinical site details.;SE;pronoun;who
R95;3;Dr Susan Poslusny and Dr Julie Donalek are the only people who shall have access to students\92 personal information.;SE;pronoun;who
R96;3;Only authorized users shall have access to the portion of the system that interfaces with CampusConnect.;SE;pronoun;that
R97;3;Fit Criterion: Dr Susan Poslusny and Karen Sysol are the only people who shall have access to the final class section scheduling for the system that interfaces with CampusConnect.;SE;pronoun;who
R97;3;Fit Criterion: Dr Susan Poslusny and Karen Sysol are the only people who shall have access to the final class section scheduling for the system that interfaces with CampusConnect.;SE;pronoun;that
R100;3;The system shall be built such that it is as secure as possible from malicious interference.;SE;pronoun;it
R101;3;The system shall use the organization\92s standard virus protection software to help monitor threats to itself.;SE;pronoun;itself
R116;3;A Program of Study shall consist of a program name and listing of required classes (both clinical and non-clinical) that must be completed.;F;pronoun;that
R120;3;Classes for a given cohort shall not conflict with regards to the time and day that they are offered.;F;pronoun;they
R125;3;Program Administrators and Nursing Staff Members shall be able to add a student who has registered for a clinical class to a clinical lab section for that class.;F;pronoun;who
R130;3;A staff member shall have the ability to manage the progress of a part time student  which includes modifying their sequence of classes and timeline of classes.;F;pronoun;which
R130;3;A staff member shall have the ability to manage the progress of a part time student  which includes modifying their sequence of classes and timeline of classes.;F;pronoun;their
R131;3;The system shall be able to display a printable summary for individual cohorts  which will include the students enlisted  the Program of study  sequence of classes  cohort progress through the program  and timeline of completion.;F;pronoun;which
R132;3;The system shall be able to display a printable summary for individual clinical sites  which will include information on labs being held at that site for the given quarter (Clinical site  general information on labs held at that location  dates and times of all labs held there).;F;pronoun;which
R133;3;The system shall be able to display a printable summary for individual clinical labs  which will include (but not be limited to) class name  class number  lab section  listing of students enrolled  instructor  day(s)  time  and location.;F;pronoun;which
R134;3;The system shall be able to display a printable summary for individual nursing students  which will include (but not be limited to) student name  student ID  admission date  classes  credits  GPA  and the cohort that the student is enrolled in.;F;pronoun;which
R134;3;The system shall be able to display a printable summary for individual nursing students  which will include (but not be limited to) student name  student ID  admission date  classes  credits  GPA  and the cohort that the student is enrolled in.;F;pronoun;that
R138;3;The system will notify affected parties for routine communication purposes  including but not limited to informing students of upcoming offered classes (timeline) and what their schedule will be/shall be.;F;pronoun;what
R138;3;The system will notify affected parties for routine communication purposes  including but not limited to informing students of upcoming offered classes (timeline) and what their schedule will be/shall be.;F;pronoun;their
R150;4;The list of dispute cases that are displayed after a search is performed must be color coded for easy identification of dispute cases based upon the dispute case status.;US;pronoun;that
R160;4;The Disputes application shall interface with the Letters application.  This will allow the Disputes application to request letters as part of the dispute initiation and dispute follow up process. All letter requests must be sent to the Print Letter Utility application.;O;pronoun;This
R161;4;The Disputes application shall interface with the Cardmember Posting and Billing System.  This will allow the Disputes application to request adjustments to cardmember and merchant\92s accounts. All adjustment requests must be sent to the Cardmember Posting and Billing System.;O;pronoun;This
R166;4;The Disputes System shall generate a User Report that details any new users that have been added and any changes to an existing user\92s access level. The report will be reviewed for auditing purposes.;SE;pronoun;that
R168;4;If a user account is revoked  it can only be re-instantiated by the System Administrator.;SE;pronoun;it
R174;4;The Disputes application must conform to the legal requirements as specified by Regulation E and Regulation Z that govern credit card disputes processing.;L;pronoun;that
R176;4;The Disputes application must maintain a detailed history of every action that a user takes on a dispute case.  This ensures a complete audit trail if questions arise later on with regard to a particular dispute case.;L;pronoun;that
R176;4;The Disputes application must maintain a detailed history of every action that a user takes on a dispute case.  This ensures a complete audit trail if questions arise later on with regard to a particular dispute case.;L;pronoun;This
R177;4;All actions that modify an existing dispute case must be recorded in the case history.;L;pronoun;that
R179;4;The Disputes System must prevent users from accessing any dispute cases that do not belong to their cardholder base.;F;pronoun;that
R179;4;The Disputes System must prevent users from accessing any dispute cases that do not belong to their cardholder base.;F;pronoun;their
R180;4;The Disputes System will facilitate direct data entry of a dispute case via a user interface that supports real time responses to the users.;F;pronoun;that
R185;4;The Disputes System must provide the user the ability to initiate a single dispute case on multiple transactions that belong to a single merchant.;F;pronoun;that
R187;4;The Disputes System must allow the user to create three unique types of ticket retrieval requests.  The three types of ticket retrieval requests are (1) Request for original receipt (2) Request for a copy of the receipt or (3) Request for a portfolio. A portfolio consists of documentation that would provide proof of a purchase such as the documentation that is received from a car rental agency that is more than a sales receipt.;F;pronoun;that
R189;4;"The Disputes System must provide a confirmation to the user upon the creation of ticket retrieval request that contains the following information; the dispute case number  the type of retrieval requested (copy  original or portfolio)  and the date that the merchant response is due.";F;pronoun;that
R190;4;The Disputes System shall allow the user to create or initiate a chargeback request.  The system must prompt the user to enter the required information to initiate a chargeback request. The chargeback request results in a printed chargeback notification that is sent to merchant indicating that their account will be charged back if no proof is provided that the disputed transaction is valid.;F;pronoun;their
R191;4;"The Disputes System must provide a confirmation to the user upon the creation of a chargeback request. The confirmation must contain the following information; the dispute case number  the type of chargeback requested (pending or immediate)  and the date that the merchant response is due.";F;pronoun;that
R193;4;The Disputes System shall accurately provide a list of possible reason codes for a given transaction.  The list of possible reason codes must be derived based on the type of transaction and the industry that the merchant belongs to  according to the business rules defined for the Disputes System.;F;pronoun;that
R196;4;A list of all disputes cases that meet the entered search criteria must be provided to the user.  The list of cases must differentiate the type and/or status of the case by color -coding the line item in the list.  For example all open cases will be yellow and all closed cases will be gray.;F;pronoun;that
R197;4;The Disputes System shall provide the users the ability to view the history of all activities that have occurred on the dispute case.;F;pronoun;that
R199;4;The Disputes System shall record the name of the user and the date for any activity that creates or modifies the disputes case in the system.  A detailed history of the actions taken on the case  including the date and the user that performed the action must be maintained for auditing purposes.;F;pronoun;that
R200;4;For any systematic (non-user initiated) action that occurs on a case such as the disputes aging process  a case activity will be generated.  Upon the next logon the user that initiated the dispute case must be notified that a systematic action has occurred on the dispute case.;F;pronoun;that
R202;4;Any disputes cases that have been closed for over 6 months must be purged from the online disputes database.;F;pronoun;that
R205;5;The product shall interface with the Choice Parts System.  This provides the feed of recycled parts data.;O;pronoun;This
R212;5;The product shall increase productivity of Collision Estimators. 80% of the Collision Estimators shall agree their productivity has increase within 1 month of using the product.;US;pronoun;their
R255;5;The available recycled parts information and their suppliers shall be returned to the user.;F;pronoun;their
R265;5;The audit report shall include the total score of the audit which sums the indivual line items.;F;pronoun;which
R283;6;The product shall make the users want to use it. 80% of the users surveyed report they are regularly using the product after the first 2 weeks post-launch.;US;pronoun;it
R283;6;The product shall make the users want to use it. 80% of the users surveyed report they are regularly using the product after the first 2 weeks post-launch.;US;pronoun;they
R285;6;The product shall give users feedback when necessary. 80% of the users surveyed report that the product accurately confirms their actions.;US;pronoun;their
R294;6;The product shall create an exception log of problems encountered within the product for transmission to our company for analysis and resolution.;FT;pronoun;our
R296;6;The product shall be able to process 10 000 transactions per hour within two years of its launch.  This number will increase to 20 000 by Release 2.;SC;pronoun;its
R309;6;Every registered user will have access to the product\92s support site via the Internet.  70% of registered users shall find a solution to their problem within 5 minutes of using the support site.;US;pronoun;their
R311;6;The product shall be translated into foreign languages other than the target market countries\92 languages in future releases.  For each emerging target market  it shall take no more than 5 days to configure the product for that market\92s language.;US;pronoun;it
R318;6;The product and/or dependent databases/filesystems shall remain operational as a result of the input of malicious data.  The product and/or dependent databases/filesystems shall not crash 100% of the time that malicious data is input into the product.;FT;pronoun;that
R326;6;The product shall assign the organizers contact information to each meeting they create.;F;pronoun;they
R343;6;The product shall record all the equipment that has been reserved.;F;pronoun;that
R353;7;The System shall be able to automatically backup business data and restore them on demand.;O;pronoun;them
R355;7;The System shall granularly control access rights to all major subsystems.  It should be possible to assign access rights to all subsystems independently.;SE;pronoun;It
R362;7;Product formulas shall allow use of semi-products  which have own formulas.;F;pronoun;which
R370;7;The RMS System shall have Windows XP look and feel and use GUI futures making its use intuitive.;F;pronoun;its
R374;8; Customer shall be able to check the status of their prepaid card  by entering in the PIN number  in under 5 seconds.;PE;pronoun;their
R375;8;System shall let customers register on the website as a \93pay as you go\94 user in under 5 minutes.;PE;pronoun;you
R377;8;System shall let existing customers log into the website with their email address and password in under 5 seconds.;PE;pronoun;their
R378;8;System shall let customers cancel their account  process shall take no longer than 2 minutes.  Database will mark the account as inactive  and user will not be able to log into the website.;PE;pronoun;their
R385;8;The website should have an African feel  but should not alienate non-Africans.  The website should use animation on pages which are describing the services  to grab the users attention and encourage them to sign up.;LF;pronoun;which
R385;8;The website should have an African feel  but should not alienate non-Africans.  The website should use animation on pages which are describing the services  to grab the users attention and encourage them to sign up.;LF;pronoun;them
R389;8;Users should be able to access their streaming movies in under 2 clicks after logging into the website.;US;pronoun;their
R394;8;The product shall use symbols and words that are naturally understandable by users familiar with websites;US;pronoun;that
R413;8;We must be able to interface with the following browsers: IE 5.X  6.0  Netscape 6.x  7.x  8.x and Firefox 1.0.;O;pronoun;We
R421;8;The system will provide a 24 hour 800 toll free number for support to its customers.;A;pronoun;its
R426;8;A customer can only stream a movie if they purchased it  and are within the 2 day viewing period.;SE;pronoun;they
R426;8;A customer can only stream a movie if they purchased it  and are within the 2 day viewing period.;SE;pronoun;it
R430;8;The website shall prevent its data from being corrupted when incorrect data is entered in.;SE;pronoun;its
R431;8;The website shall protect itself from intentional abuse  and notify the administrator at all occurrences.;SE;pronoun;itself
R433;8;The website shall make its user aware of its information practices before collection data from them via a Privacy Policy  accessible on all pages of the website.;SE;pronoun;its
R433;8;The website shall make its user aware of its information practices before collection data from them via a Privacy Policy  accessible on all pages of the website.;SE;pronoun;them
R434;8;The system shall notify customers of changes to its information policy.;SE;pronoun;its
R452;8;Website shall allow customers to add their own movie review for a selected movie.;F;pronoun;their
R456;8;System shall automatically update the main page of the website every Friday  and show the 4 latest movies that have been added to the website.;F;pronoun;that
R457;8;System shall allow users to update their billing and contact information via the \93My Account\94 section of the website.;F;pronoun;their
R462;8;All registered customer information shall be stored and maintained in the database  even after the customer cancels their account.;F;pronoun;their
R468;9;The process must fit within the processing time conditions set forth by the Auto Rep Assignment process in which a lead is assigned within 3 minutes of the total life cycle.;PE;pronoun;which
R478;9;If the leads score falls within the high average score then it will be process by the ARA functionality.;F;pronoun;it
R479;9;If the leads score falls within the medium average then it will be set for manual verification by an Enrollment Coordinator through the eleads system.;F;pronoun;it
R480;9;If the leads score falls within the low average then it will be returned to the supplying vendor;F;pronoun;it
R484;9;The leads washing functionality will have an interface in which lead data parameters can be maintained.;F;pronoun;which
R493;10;When a shot is marked as a miss  the product shall simulate the sound of a shot missing its target.;LF;pronoun;its
R494;10;When a shot is marked as a hit  the product shall simulate the sound of a shot hitting its target.;LF;pronoun;its
R499;10;The product shall protect the identity of the players. The product shall provide players no access to information that might reveal the identity of another player.;PE;pronoun;that
R501;10;The product shall be available to players who understand English  Spanish and French.  The product shall allow the user to select the language upon accessing the product.;US;pronoun;who
R502;10;The product shall provide players no access to information that might reveal the identity of another player;SE;pronoun;that
R505;10;The product shall allow a user to identify himself or herself as a player.;F;pronoun;himself
R505;10;The product shall allow a user to identify himself or herself as a player.;F;pronoun;herself
R507;10;The product shall allow a user to remove himself or herself from the list of players at any time.;F;pronoun;himself
R507;10;The product shall allow a user to remove himself or herself from the list of players at any time.;F;pronoun;herself
R509;10;The product shall remove players who have been inactive for 24 hours from the list of players.;F;pronoun;who
R514;10;Once a game is initiated  the product shall allow each player to position their 5 ships on their respective defensive grids.;F;pronoun;their
R515;10;The product shall allow a player to position ships horizontally on their grid.;F;pronoun;their
R516;10;The product shall allow the player to position ships vertically on their grid.;F;pronoun;their
R517;10;The product shall allow the player to position ships diagonally on their grid;F;pronoun;their
R518;10;The product shall prevent the player from overlapping ships on their grid.;F;pronoun;their
R519;10;When both players have positioned their 5 ships on their defensive grids  the product shall define the status of each player for the first turn.;F;pronoun;their
R522;10;At the start of each turn  the product shall notify each player of his or her status.;F;pronoun;his
R522;10;At the start of each turn  the product shall notify each player of his or her status.;F;pronoun;her
R536;10;The product shall end a game when a hit by the offensive player results in sinking the last of the defensive player\92s ships  which had not been previously marked as sunk.;F;pronoun;which
R538;10;When a game is ended  the product shall notify the players that the game is ended.;F;pronoun;that
R540;10;When a game is ended  the product shall allow each player to identify himself or herself as an available player in the list of players.;F;pronoun;himself
R540;10;When a game is ended  the product shall allow each player to identify himself or herself as an available player in the list of players.;F;pronoun;herself
R541;10;When a game is ended  the product shall allow each player to remove himself or herself from the list of players.;F;pronoun;himself
R541;10;When a game is ended  the product shall allow each player to remove himself or herself from the list of players.;F;pronoun;herself
R573;12;The product shall operate with every platform.The product shall accommodate any new technology without any change in its architecture.;MN;pronoun;its
R582;13;The interface shall be easy to use. 90% of users should be able to successfully use the system to generate a report on their first use. The interface should adhere to IBM usability standards.;US;pronoun;their
R591;13;The Brio portion of the WCS system must be able to export files in spreadsheet form (Microsoft Excel and Lotus 1-2-3 formats).  Brio will provide buttons in the user interface that produce/export reports in .xls or .123 file formats.;O;pronoun;that
R594;13;The system shall only be accessed by authorized Corporate Community Grants (CCR) employees. Users must be authenticated using their IBM intranet user name and password.;SE;pronoun;their
R598;14;Each page shall contain a navigation menu which shows the index into which the current page is contained.;LF;pronoun;which
R612;15;The RFS system should be available 24/7  especially during the budgeting period. The RFS system shall be available 90% of the time all year  and 98% during the budgeting period. 2% of the time  the system will become available within 1 hour of the time that the situation is reported.;A;pronoun;that
R616;15;Changes to revenue and expense formulae must be applied to the RFS system  every year  prior to the budgeting process start. Revenue and expense formulae will be updated within one week of their receipt  after which 2 weeks will be allotted to testing of the budget calculations  to be conducted jointly by the project development team and PCG Finance.;MN;pronoun;their
R616;15;Changes to revenue and expense formulae must be applied to the RFS system  every year  prior to the budgeting process start. Revenue and expense formulae will be updated within one week of their receipt  after which 2 weeks will be allotted to testing of the budget calculations  to be conducted jointly by the project development team and PCG Finance.;MN;pronoun;which
R618;15;Only authorized user shall access the RFS system. ONLY users that exist in the UAS system  with the RFS system assigned to their role(s)  shall access the RFS system and use it.;SE;pronoun;that
R618;15;Only authorized user shall access the RFS system. ONLY users that exist in the UAS system  with the RFS system assigned to their role(s)  shall access the RFS system and use it.;SE;pronoun;their
R618;15;Only authorized user shall access the RFS system. ONLY users that exist in the UAS system  with the RFS system assigned to their role(s)  shall access the RFS system and use it.;SE;pronoun;it
R619;15;User access should be limited to the permissions granted to their role(s) Each level in the PCG hierarchy will be assigned a role and users will be assigned to these roles. Access to functionality within RFS system is dependent on the privileges/permission assigned to the role..;SE;pronoun;their
R622;15;The users should be able to easily use the system to successfully complete their budgets  within the stipulated time for completion. With a week of training prior to product implementation  98% of the users shall complete their budgets within the stipulated time.;US;pronoun;their
R631;16;The system shall have a help system that offers tips and explanation for each screen and each item on the screens upon demand.;US;pronoun;that
R633;16;The system shall allow a text search that users may use to find mail messages.;F;pronoun;that
R653;19;The system must be easy to use by both managers and chefs such that they do not need to read an extensive amount of manuals.;US;pronoun;they
R655;19;The system must be intuitive and simple in the way it displays all relevant data and relationships.;US;pronoun;it
R656;19;The menus of the system must be easily navigable by the users with buttons that are easy to understand.;US;pronoun;that
R659;19;The client should agree to EULA before using our software.;L;pronoun;our
R663;20;All network transactions that involve financial information or personally identifiable information shall be encrypted.;SE;pronoun;that
R666;20;The system shall permit only cafeteria staff members who are on the list of authorized Menu Managers to create or edit menus.;F;pronoun;who
R667;20;Only users who have been authorized for home access to the corporate Intranet may use the COS from non-company locations.;SE;pronoun;who
R669;21;System security and access levels are provided in the online system. There are varying levels of system access and functional authority. Each student’s access is limited to his/her own registration records. Only authorized system administrator(s) has access to all student registration records.;SE;pronoun;his
R669;21;System security and access levels are provided in the online system. There are varying levels of system access and functional authority. Each student’s access is limited to his/her own registration records. Only authorized system administrator(s) has access to all student registration records.;SE;pronoun;her
R670;21;The online registration system is “self-service style” system that shall initially address the student registration needs.;F;pronoun;that
R671;22;All data entry forms for the application should match their Microsoft Excel hardcopy counterparts as closely as possible. Hardcopies of these forms were provided to the design team during the second requirements interview.;O;pronoun;their
R673;23;Changes made to the Manage My ID website can be adopted without altering the iOS application.;MN;pronoun;My
R676;24;The application should be easy to extend. The code should be written in a way that it favors implementation of new functions.;MN;pronoun;that
