ID;ID progetto;REQUISITO (testo);Classe dei requisiti;CATEGORIA;PAROLA
R6;1;The product shall ensure that it can only be accessed by authorized users.  The product will be able to distinguish between authorized and unauthorized users in all access attempts;SE;qualifier;all
R22;1;The system shall offer a display of all the Events in the exercise.;F;qualifier;all
R70;3;All of the users shall be able to use the system after one day of training.;US;qualifier;All
R81;3;system shall be able to handle all of the user requests/usage during business hours.;SC;qualifier;all
R91;3;We must be able to interface with any HTML browser.;O;qualifier;any
R118;3;The system shall be able to display a report of needed classes for a given quarter for all cohorts of all programs for Program Administrators/Nursing Staff Members\92 planning purposes.;F;qualifier;all
R132;3;The system shall be able to display a printable summary for individual clinical sites  which will include information on labs being held at that site for the given quarter (Clinical site  general information on labs held at that location  dates and times of all labs held there).;F;qualifier;all
R136;3;The system shall contain contact information (e-mail and phone number) for all people relevant to the system  including (but not limited to) staff members  students  lecture instructors  clinical lab instructors  and clinical site administrators.;F;qualifier;all
R149;4;All screens created as part of the Disputes application must comply with corporate standards for interface creation.;LF;qualifier;All
R155;4;The Disputes application shall support 350 concurrent users without any degradation of performance in the application.;PE;qualifier;any
R157;4;The Disputes application shall interface with the Statement Database. The Statement Database provides the transaction details to the Disputes System. All transaction details must be obtained from the Statement Database;O;qualifier;All
R158;4;The Disputes application shall interface with the Cardmember Information Database. The Cardmember Information Database provides detailed information with regard to a cardmember. All cardmember detail information must be obtained from the Cardmember Information Database.;O;qualifier;All
R159;4;The Disputes applications shall interface with the Merchant Information Database. The Merchant Information Database provides detailed information with regard to the merchant. All merchant detail information shall be obtained from the Merchant Information Database.;O;qualifier;All
R160;4;The Disputes application shall interface with the Letters application.  This will allow the Disputes application to request letters as part of the dispute initiation and dispute follow up process. All letter requests must be sent to the Print Letter Utility application.;O;qualifier;All
R161;4;The Disputes application shall interface with the Cardmember Posting and Billing System.  This will allow the Disputes application to request adjustments to cardmember and merchant\92s accounts. All adjustment requests must be sent to the Cardmember Posting and Billing System.;O;qualifier;All
R165;4;All authorized users  once authenticated must be able to logon to the Disputes System;SE;qualifier;All
R166;4;The Disputes System shall generate a User Report that details any new users that have been added and any changes to an existing user\92s access level. The report will be reviewed for auditing purposes.;SE;qualifier;any
R167;4;All additions of new users and modifications to user\92s access shall be recorded on the User Report.;SE;qualifier;All
R171;4;All updates to data files or database must be initiated from the Disputes System.;SE;qualifier;All
R173;4;All business rules specified in the Disputes System shall be in compliance with the Merchant Operating Regulations.;L;qualifier;All
R175;4;All business rules specified in the Disputes System shall be in compliance to the guidelines of Regulation E and Regulation Z.;L;qualifier;All
R177;4;All actions that modify an existing dispute case must be recorded in the case history.;L;qualifier;All
R179;4;The Disputes System must prevent users from accessing any dispute cases that do not belong to their cardholder base.;F;qualifier;any
R186;4;The Disputes System will provide the user the ability to create or initiate a ticket retrieval request.   As part of ticket retrieval creation process the system must prompt the user to enter all the required information to create the ticket retrieval request.  The ticket retrieval request is a document that is sent to merchant inquiring the validity of a transaction.;F;qualifier;all
R195;4;The Disputes System must provide Search functionality.  The search method must include the ability to search by (1) the dispute case number  (2) the merchant account number  (3) the cardmember account number and (4) the issuer number.  In addition to the above criteria  the search functionality must further allow the user to limit the results of the search by a date range  the type of dispute (ticket retrieval request or chargeback notification)  the case status (open  closed or all) and the dispute reason code.;F;qualifier;all
R196;4;A list of all disputes cases that meet the entered search criteria must be provided to the user.  The list of cases must differentiate the type and/or status of the case by color -coding the line item in the list.  For example all open cases will be yellow and all closed cases will be gray.;F;qualifier;all
R197;4;The Disputes System shall provide the users the ability to view the history of all activities that have occurred on the dispute case.;F;qualifier;all
R199;4;The Disputes System shall record the name of the user and the date for any activity that creates or modifies the disputes case in the system.  A detailed history of the actions taken on the case  including the date and the user that performed the action must be maintained for auditing purposes.;F;qualifier;any
R200;4;For any systematic (non-user initiated) action that occurs on a case such as the disputes aging process  a case activity will be generated.  Upon the next logon the user that initiated the dispute case must be notified that a systematic action has occurred on the dispute case.;F;qualifier;any
R201;4;All letter requests must be formatted according to guidelines specified by the Print Letter Utility system.;F;qualifier;All
R202;4;Any disputes cases that have been closed for over 6 months must be purged from the online disputes database.;F;qualifier;Any
R206;5;The product shall run on the existing hardware for all environments.;O;qualifier;all
R213;5;Users shall feel satisfied using the product.  85% of all users will be satisfied with the product.;US;qualifier;all
R277;6;The product will function alongside server software on any operating system where the Java runtime can be installed.;O;qualifier;any
R288;6;An employee will be able to successfully use the product within a few minutes.  After informally navigating the product for less than 15 minutes  users shall be able to successfully setup meetings and reserve conference rooms.;US;qualifier;few
R299;6;The product must be able to interface with any HTML browser.  The product shall transmit data between the user and the product without problems. The product shall display HTML properly in 80% of all HTML browsers tested (minimum is to test 8 browsers).;O;qualifier;any
R299;6;The product must be able to interface with any HTML browser.  The product shall transmit data between the user and the product without problems. The product shall display HTML properly in 80% of all HTML browsers tested (minimum is to test 8 browsers).;O;qualifier;all
R300;6;The product must be able to interface with various database management systems. The product shall communicate successfully with the database management system on 100% of all transactions.;O;qualifier;all
