ID;ID progetto;REQUISITO (testo);Classe dei requisiti;CATEGORIA;PAROLA
R3;1;If projected  the data must be readable.  On a 10x10 projection screen  90% of viewers must be able to read Event / Activity data from a viewing distance of 30;US;vague;able to
R4;1;The product shall be available during normal business hours. As long as the user has access to the client PC  the system will be available 99% of the time during the first six months of operation.;A;vague;normal
R5;1;If projected  the data must be understandable. On a 10x10 projection screen  90% of viewers must be able to determine that Events or Activities are occuring in current time from a viewing distance of 100;US;vague;able to
R5;1;If projected  the data must be understandable. On a 10x10 projection screen  90% of viewers must be able to determine that Events or Activities are occuring in current time from a viewing distance of 100;US;vague;understandable
R6;1;The product shall ensure that it can only be accessed by authorized users.  The product will be able to distinguish between authorized and unauthorized users in all access attempts;SE;vague;able to
R6;1;The product shall ensure that it can only be accessed by authorized users.  The product will be able to distinguish between authorized and unauthorized users in all access attempts;SE;vague;only
R7;1;The product shall be intuitive and self-explanatory. 90% of new users shall be able to start the display of Events or Activities within 90 minutes of using the product.;US;vague;able to
R8;1;The product shall respond fast to keep up-to-date data in the display.;PE;vague;fast
R15;1;The table side of the display shall be split into 2 regions: sequential and temporal.;F;vague;sequential
R32;2;The product shall have a consistent color scheme and fonts.;LF;vague;consistent
R35;2;The product shall be easy for a realtor to learn.;US;vague;easy
R36;2;The product shall use symbols and words that are naturally understandable by the realtor community.;US;vague;understandable
R49;2;The product shall be able to support multiple remote users;SC;vague;able to
R51;2;The product shall be capable of handling the existing 1000 users. This number is expected to grow 5 times within the next year.;SC;vague;capable of
R53;2;90% of untrained realtors shall be able to install the product on their device without printed instructions;US;vague;able to
R55;2;Only registered realtors shall be able to access the system.;SE;vague;able to
R55;2;Only registered realtors shall be able to access the system.;SE;vague;Only
R59;2;The user shall be able to get driving directions to a selected property;F;vague;able to
R60;2;The user shall be able to download appointments and contact information for clients;F;vague;able to
R63;2;Realtor shall be able to generate a CMA report based on property criteria;F;vague;able to
R64;2;The system shall be able to call the seller or buyer to schedule an appointment;F;vague;able to
R66;2;The realtor shall be able to retrieve a map showing property locations for a specified area;F;vague;able to
R69;3;The system shall be easy to use by the Program Administrators/Nursing Staff Members.;US;vague;easy
R70;3;All of the users shall be able to use the system after one day of training.;US;vague;able to
R74;3;2 out of 3 Program Administrators/Nursing Staff Members shall successfully be able to use the system to manage the scheduling of classes and clinicals.;US;vague;able to
R75;3;The system shall use symbols and words that are naturally understandable by the user community.;US;vague;understandable
R76;3;The verbiage used within the system shall be consistent with Standard English and the terminology of the national Nursing Community.;US;vague;consistent
R77;3;Staff members shall be able to complete a set of tasks in a timely manner.;PE;vague;able to
R77;3;Staff members shall be able to complete a set of tasks in a timely manner.;PE;vague;timely
R78;3;The response time of general student management tasks shall take no longer than 5 seconds and the response time of schedule generation shall take no longer than 30 seconds.;PE;vague;general
R81;3;system shall be able to handle all of the user requests/usage during business hours.;SC;vague;able to
