ID;ID progetto;REQUISITO (testo);Classe dei requisiti;CATEGORIA;PAROLA
R1;1;The system shall refresh the display every 60 seconds.;PE;verb;refresh
R2;1;The application shall match the color of the schema set forth by Department of Homeland Security;LF;verb;match
R3;1;If projected  the data must be readable.  On a 10x10 projection screen  90% of viewers must be able to read Event / Activity data from a viewing distance of 30;US;verb;be
R3;1;If projected  the data must be readable.  On a 10x10 projection screen  90% of viewers must be able to read Event / Activity data from a viewing distance of 30;US;verb;read
R4;1;The product shall be available during normal business hours. As long as the user has access to the client PC  the system will be available 99% of the time during the first six months of operation.;A;verb;be
R5;1;If projected  the data must be understandable. On a 10x10 projection screen  90% of viewers must be able to determine that Events or Activities are occuring in current time from a viewing distance of 100;US;verb;be
R5;1;If projected  the data must be understandable. On a 10x10 projection screen  90% of viewers must be able to determine that Events or Activities are occuring in current time from a viewing distance of 100;US;verb;determine
R5;1;If projected  the data must be understandable. On a 10x10 projection screen  90% of viewers must be able to determine that Events or Activities are occuring in current time from a viewing distance of 100;US;verb;occuring
R6;1;The product shall ensure that it can only be accessed by authorized users.  The product will be able to distinguish between authorized and unauthorized users in all access attempts;SE;verb;ensure
R6;1;The product shall ensure that it can only be accessed by authorized users.  The product will be able to distinguish between authorized and unauthorized users in all access attempts;SE;verb;be
R6;1;The product shall ensure that it can only be accessed by authorized users.  The product will be able to distinguish between authorized and unauthorized users in all access attempts;SE;verb;distinguish
R7;1;The product shall be intuitive and self-explanatory. 90% of new users shall be able to start the display of Events or Activities within 90 minutes of using the product.;US;verb;be
R7;1;The product shall be intuitive and self-explanatory. 90% of new users shall be able to start the display of Events or Activities within 90 minutes of using the product.;US;verb;start
R8;1;The product shall respond fast to keep up-to-date data in the display.;PE;verb;respond
R9;1;The system shall have a MDI form that allows for the viewing of the graph and the data table.;F;verb;allows
R10;1;The system shall display Events in a vertical table by time.;F;verb;display
R11;1;The system shall display the Events in a graph by time.;F;verb;display
R12;1;The system shall display Events or Activities.;F;verb;display
R15;1;The table side of the display shall be split into 2 regions: sequential and temporal.;F;verb;be
R16;1;The top 1/4 of the table will hold events that are to occur sequentially.;F;verb;hold
R16;1;The top 1/4 of the table will hold events that are to occur sequentially.;F;verb;occur
R17;1;The bottom 3/4 of the table will hold events that occur according to its relevance to current time.;F;verb;hold
R17;1;The bottom 3/4 of the table will hold events that occur according to its relevance to current time.;F;verb;occur
R19;1;The system shall display data from the Sync Matrix 1.0 and Exercise Management Tool 1.0 applications;F;verb;display
R20;1;The system shall link Events back to either the Sync Matrix 1.0 or the Exercise Managment Tool 1.0 applications for modifications.;F;verb;link
R21;1;The system shall allow modification of the display.;F;verb;allow
R22;1;The system shall offer a display of all the Events in the exercise.;F;verb;offer
R23;1;The system shall filter data by: Venues and Key Events.;F;verb;filter
R24;1;The system shall allow a user to define the time segments;F;verb;allow
R24;1;The system shall allow a user to define the time segments;F;verb;define
R25;1;The system shall display the local and exercise time in separate clocks;F;verb;display
R25;1;The system shall display the local and exercise time in separate clocks;F;verb;exercise
R26;1;The system shall offer the ability to pause and resume the refresh of data.;F;verb;offer
R26;1;The system shall offer the ability to pause and resume the refresh of data.;F;verb;pause
R26;1;The system shall offer the ability to pause and resume the refresh of data.;F;verb;resume
R27;1;The system shall provide charts for the Activity or Event actual versus assumed time.;F;verb;provide
R28;1;The system shall provide a history report of changes made to the Activity or Event data;F;verb;provide
R29;2;The look and feel of the system shall conform to the user interface standards of the smart device.;LF;verb;feel
R33;2;The system shall be used by realtors with no training.;US;verb;be
R34;2;The system shall be intuitive and self explanatory.;US;verb;be
R35;2;The product shall be easy for a realtor to learn.;US;verb;be
R35;2;The product shall be easy for a realtor to learn.;US;verb;learn
R36;2;The product shall use symbols and words that are naturally understandable by the realtor community.;US;verb;use
R37;2;The product shall produce search results in an acceptable time;PE;verb;produce
R38;2;The search results shall be returned no later 30 seconds  after the user has entered the search criteria;PE;verb;be
R39;2;The product shall generate a CMA report in an acceptable time.;PE;verb;generate
R40;2;The CMA report shall be returned no later 60 seconds after the user has entered the CMA report criteria.;PE;verb;be
R41;2;The product shall synchronize contacts and appointments in an acceptable time.;PE;verb;synchronize
R42;2;The product shall synchronize with the office system every hour.;PE;verb;synchronize
R43;2;The product shall be available for use 24 hours per day 365 days  per year;A;verb;be
R45;2;The product shall operate in offline mode whenever internet connection is unavailable.;FT;verb;operate
R46;2;The product shall allow the user to view previously downloaded search results CMA reports  and appointments.;FT;verb;allow
R46;2;The product shall allow the user to view previously downloaded search results CMA reports  and appointments.;FT;verb;view
R46;2;The product shall allow the user to view previously downloaded search results CMA reports  and appointments.;FT;verb;reports
R47;2;The product shall retain user preferences in the event of a failure.;FT;verb;retain
R48;2;100% of saved user preferences shall be restored when system comes back online.;FT;verb;be
