ID;ID progetto;REQUISITO (testo);Classe dei requisiti;CATEGORIA;PAROLA
R3;1;If projected  the data must be readable.  On a 10x10 projection screen  90% of viewers must be able to read Event / Activity data from a viewing distance of 30;US;vpastp;projected
R5;1;If projected  the data must be understandable. On a 10x10 projection screen  90% of viewers must be able to determine that Events or Activities are occuring in current time from a viewing distance of 100;US;vpastp;projected
R6;1;The product shall ensure that it can only be accessed by authorized users.  The product will be able to distinguish between authorized and unauthorized users in all access attempts;SE;vpastp;accessed
R14;1;The data displayed in both the nodes within the graph and the rows in the table are MSEL Summary data;F;vpastp;displayed
R15;1;The table side of the display shall be split into 2 regions: sequential and temporal.;F;vpastp;split
R27;1;The system shall provide charts for the Activity or Event actual versus assumed time.;F;vpastp;assumed
R28;1;The system shall provide a history report of changes made to the Activity or Event data;F;vpastp;made
R33;2;The system shall be used by realtors with no training.;US;vpastp;used
R38;2;The search results shall be returned no later 30 seconds  after the user has entered the search criteria;PE;vpastp;returned
R38;2;The search results shall be returned no later 30 seconds  after the user has entered the search criteria;PE;vpastp;entered
R40;2;The CMA report shall be returned no later 60 seconds after the user has entered the CMA report criteria.;PE;vpastp;returned
R40;2;The CMA report shall be returned no later 60 seconds after the user has entered the CMA report criteria.;PE;vpastp;entered
R46;2;The product shall allow the user to view previously downloaded search results CMA reports  and appointments.;FT;vpastp;downloaded
R48;2;100% of saved user preferences shall be restored when system comes back online.;FT;vpastp;saved
R48;2;100% of saved user preferences shall be restored when system comes back online.;FT;vpastp;restored
R51;2;The product shall be capable of handling the existing 1000 users. This number is expected to grow 5 times within the next year.;SC;vpastp;expected
R52;2;The product shall be installed by an untrained realtor without recourse to separately-printed instructions.;US;vpastp;installed
R52;2;The product shall be installed by an untrained realtor without recourse to separately-printed instructions.;US;vpastp;printed
R53;2;90% of untrained realtors shall be able to install the product on their device without printed instructions;US;vpastp;printed
R54;2;The product is expected to run on Windows CE and Palm operating systems.;PO;vpastp;expected
R55;2;Only registered realtors shall be able to access the system.;SE;vpastp;registered
R56;2;Every user of the system shall be authenticated and authorized.;SE;vpastp;authenticated
R56;2;Every user of the system shall be authenticated and authorized.;SE;vpastp;authorized
R57;2;The product shall prevent its data from incorrect data being introduced.;SE;vpastp;introduced
R59;2;The user shall be able to get driving directions to a selected property;F;vpastp;selected
R65;2;The realtor shall be notified of new client appointments after automatic synchronization with office system;F;vpastp;notified
R72;3;The number of mistakes noted by the students shall be decreased by 50% in the first year.;US;vpastp;noted
R72;3;The number of mistakes noted by the students shall be decreased by 50% in the first year.;US;vpastp;decreased
R76;3;The verbiage used within the system shall be consistent with Standard English and the terminology of the national Nursing Community.;US;vpastp;used
R84;3;The system shall be expected to manage the nursing program curriculum and class/clinical scheduling for a minimum of 5 years.;SC;vpastp;expected
R86;3;The system shall be used within the specifications defined by the computers used by the Program Administrators/Nursing Staff Members.;O;vpastp;used
R86;3;The system shall be used within the specifications defined by the computers used by the Program Administrators/Nursing Staff Members.;O;vpastp;defined
R92;3;Only authorized users shall have access to clinical site information.;SE;vpastp;authorized
R94;3;Only authorized users shall have access to students\92 personal information.;SE;vpastp;authorized
R96;3;Only authorized users shall have access to the portion of the system that interfaces with CampusConnect.;SE;vpastp;authorized
R98;3;The system shall have basic data integrity checking to reduce the possibility of incorrect or invalid data being introduced.;SE;vpastp;introduced
R100;3;The system shall be built such that it is as secure as possible from malicious interference.;SE;vpastp;built
