ID;ID progetto;REQUISITO (testo);Classe dei requisiti;CATEGORIA;PAROLA
R13;1;The display shall have two regions:  left 2/3 of the display is graphical  right 1/3 of the display is a data table;F;vpastt;left
R105;3;Students added to a cohort shall be eligible for the cohort\92s Program of Study.;F;vpastt;added
R119;3;The report of needed classes shall include (but not be limited to) classes to be offered  number of sections needed  number of labs needed  and room types needed.;F;vpastt;needed
R131;3;The system shall be able to display a printable summary for individual cohorts  which will include the students enlisted  the Program of study  sequence of classes  cohort progress through the program  and timeline of completion.;F;vpastt;enlisted
R133;3;The system shall be able to display a printable summary for individual clinical labs  which will include (but not be limited to) class name  class number  lab section  listing of students enrolled  instructor  day(s)  time  and location.;F;vpastt;enrolled
R191;4;"The Disputes System must provide a confirmation to the user upon the creation of a chargeback request. The confirmation must contain the following information; the dispute case number  the type of chargeback requested (pending or immediate)  and the date that the merchant response is due.";F;vpastt;requested
R199;4;The Disputes System shall record the name of the user and the date for any activity that creates or modifies the disputes case in the system.  A detailed history of the actions taken on the case  including the date and the user that performed the action must be maintained for auditing purposes.;F;vpastt;performed
R200;4;For any systematic (non-user initiated) action that occurs on a case such as the disputes aging process  a case activity will be generated.  Upon the next logon the user that initiated the dispute case must be notified that a systematic action has occurred on the dispute case.;F;vpastt;initiated
R254;5;The system shall retain the available recycled parts and suppliers returned from the search.;F;vpastt;returned
R299;6;The product must be able to interface with any HTML browser.  The product shall transmit data between the user and the product without problems. The product shall display HTML properly in 80% of all HTML browsers tested (minimum is to test 8 browsers).;O;vpastt;tested
R316;6;The product shall ensure that the database\92s data corresponds to the data entered by the user.  Each conference room reservation in the system will contain the same information as was entered by the user.;SE;vpastt;was
R367;7;PME Subsystem shall allow building product menus based on the list of products kept in the accounting system.;F;vpastt;kept
R368;7;PME Subsystem shall allow keeping submenus within menus and products within submenus in a managed and persisted order.;F;vpastt;persisted
R416;8;Movies shall be encoded and streamed via Windows Media Player 9.0.;O;vpastt;streamed
R426;8;A customer can only stream a movie if they purchased it  and are within the 2 day viewing period.;SE;vpastt;purchased
R447;8;viewing a movie details the website will display the movies description actor and director entered in by the administrator.;F;vpastt;entered
R524;10;For each shot  the product shall examine the defensive grid of the defensive player to determine whether the shot was a hit or miss.;F;vpastt;was
R525;10;For each shot  the product shall notify the players whether the shot was a hit or miss.;F;vpastt;was
R528;10;When the hit results in sinking a ship  the product shall notify the players that the ship was sunk.;F;vpastt;was
R532;10;If the shot was marked as a hit  the product shall allow the offensive player to define a shot.;F;vpastt;was
R533;10;If the shot was marked as a miss  the product shall change the status of the offensive player to defensive;F;vpastt;was
R534;10;If the shot was marked as a miss  the product shall change the status of the defensive player to offensive;F;vpastt;was
R536;10;The product shall end a game when a hit by the offensive player results in sinking the last of the defensive player\92s ships  which had not been previously marked as sunk.;F;vpastt;had
R572;12;The product shall be updated on a regular basis.The product will have a new major feature introduced every six months and quarterly maintenance releases every six months.;MN;vpastt;introduced
R600;14;The message board shall contain the 5 most recently posted messages on the league page. The messages will contain up to the first 150 characters of the message.;LF;vpastt;posted
R632;16;The system shall display and embed in each message a date/timestamp of when the message was sent.;F;vpastt;was
R671;22;All data entry forms for the application should match their Microsoft Excel hardcopy counterparts as closely as possible. Hardcopies of these forms were provided to the design team during the second requirements interview.;O;vpastt;were
R673;23;Changes made to the Manage My ID website can be adopted without altering the iOS application.;MN;vpastt;made
R720;31;The IP addresses where the transaction was made from will be logged.;SE;vpastt;was
R846;45;The system shall allow the initiator to view the information of any meetings which they initiated.;F;vpastt;initiated
R847;45;The system shall allow the initiator to cancel any meetings which they initiated.;F;vpastt;initiated
R893;46;The system shall display both the active and completed order history in the customer profile.;F;vpastt;completed
R896;46;The system shall display the most frequently searched items by the user in the profile.;F;vpastt;searched
R969;49;The website must provide highest degree of security to the registered users. All the transactions that are made must be secured. The sensitive information passed to and from the website must be secured. Identity theft and other security related issues must be solved. Unauthorized transmission of sensitive information of the user to third party websites for reference must be avoided. On the basis of user agreement the information must be processed. All the information about the registered user must be securely stored in the central database.;SE;vpastt;passed
