ID;ID progetto;REQUISITO (testo);Classe dei requisiti;CATEGORIA;PAROLA
R4;1;The product shall be available during normal business hours. As long as the user has access to the client PC  the system will be available 99% of the time during the first six months of operation.;A;weak_1;will
R6;1;The product shall ensure that it can only be accessed by authorized users.  The product will be able to distinguish between authorized and unauthorized users in all access attempts;SE;weak_1;can
R6;1;The product shall ensure that it can only be accessed by authorized users.  The product will be able to distinguish between authorized and unauthorized users in all access attempts;SE;weak_1;will
R16;1;The top 1/4 of the table will hold events that are to occur sequentially.;F;weak_1;will
R17;1;The bottom 3/4 of the table will hold events that occur according to its relevance to current time.;F;weak_1;will
R106;3;Program Administrators and Nursing Staff Members shall be able to specify the preferred sequence of classes for a given cohort.;F;weak_1;preferred
R107;3;For each class within a sequence for a cohort  Program Administrators and Nursing Staff Members shall be able to specify which quarter that class will be offered.;F;weak_1;will
R131;3;The system shall be able to display a printable summary for individual cohorts  which will include the students enlisted  the Program of study  sequence of classes  cohort progress through the program  and timeline of completion.;F;weak_1;will
R132;3;The system shall be able to display a printable summary for individual clinical sites  which will include information on labs being held at that site for the given quarter (Clinical site  general information on labs held at that location  dates and times of all labs held there).;F;weak_1;will
R133;3;The system shall be able to display a printable summary for individual clinical labs  which will include (but not be limited to) class name  class number  lab section  listing of students enrolled  instructor  day(s)  time  and location.;F;weak_1;will
R134;3;The system shall be able to display a printable summary for individual nursing students  which will include (but not be limited to) student name  student ID  admission date  classes  credits  GPA  and the cohort that the student is enrolled in.;F;weak_1;will
R137;3;The system will use the stored e-mail addresses as a primary means of communicating information to affected parties.;F;weak_1;will
R138;3;The system will notify affected parties for routine communication purposes  including but not limited to informing students of upcoming offered classes (timeline) and what their schedule will be/shall be.;F;weak_1;will
R139;3;The system will notify affected parties when changes occur affecting clinicals  including but not limited to clinical section capacity changes  and clinical section cancellations.;F;weak_1;will
R140;3;The system will notify affected parties when changes occur affecting classes  including but not limited to class cancellations  class section detail changes  and changes to class offerings for a given quarter.;F;weak_1;will
R141;3;The system will notify affected parties when changes occur affecting cohorts  including but not limited to changes to the sequence for a cohort\92s program of study and changes to a given week\92s schedule (lab cancelled this week due to instructor illness).;F;weak_1;will
R142;3;The system will notify affected parties when changes occur affecting specific students  including but not limited to changing a student\92s status from full time to part time and moving a student to a different clinical section.;F;weak_1;will
R143;3;Program Administrators/Nursing Staff Members shall have the ability to modify information relating to cohorts including cohort identifier  program of study  preferred sequence of classes and quarters that a cohort will be taking specific classes.;F;weak_1;preferred
R143;3;Program Administrators/Nursing Staff Members shall have the ability to modify information relating to cohorts including cohort identifier  program of study  preferred sequence of classes and quarters that a cohort will be taking specific classes.;F;weak_1;will
R160;4;The Disputes application shall interface with the Letters application.  This will allow the Disputes application to request letters as part of the dispute initiation and dispute follow up process. All letter requests must be sent to the Print Letter Utility application.;O;weak_1;will
R161;4;The Disputes application shall interface with the Cardmember Posting and Billing System.  This will allow the Disputes application to request adjustments to cardmember and merchant\92s accounts. All adjustment requests must be sent to the Cardmember Posting and Billing System.;O;weak_1;will
R166;4;The Disputes System shall generate a User Report that details any new users that have been added and any changes to an existing user\92s access level. The report will be reviewed for auditing purposes.;SE;weak_1;will
R168;4;If a user account is revoked  it can only be re-instantiated by the System Administrator.;SE;weak_1;can
R170;4;The Disputes application shall manipulate and view business data. Users will not have direct access to data files or databases.;SE;weak_1;will
R180;4;The Disputes System will facilitate direct data entry of a dispute case via a user interface that supports real time responses to the users.;F;weak_1;will
R186;4;The Disputes System will provide the user the ability to create or initiate a ticket retrieval request.   As part of ticket retrieval creation process the system must prompt the user to enter all the required information to create the ticket retrieval request.  The ticket retrieval request is a document that is sent to merchant inquiring the validity of a transaction.;F;weak_1;will
R187;4;The Disputes System must allow the user to create three unique types of ticket retrieval requests.  The three types of ticket retrieval requests are (1) Request for original receipt (2) Request for a copy of the receipt or (3) Request for a portfolio. A portfolio consists of documentation that would provide proof of a purchase such as the documentation that is received from a car rental agency that is more than a sales receipt.;F;weak_1;would
R190;4;The Disputes System shall allow the user to create or initiate a chargeback request.  The system must prompt the user to enter the required information to initiate a chargeback request. The chargeback request results in a printed chargeback notification that is sent to merchant indicating that their account will be charged back if no proof is provided that the disputed transaction is valid.;F;weak_1;will
R196;4;A list of all disputes cases that meet the entered search criteria must be provided to the user.  The list of cases must differentiate the type and/or status of the case by color -coding the line item in the list.  For example all open cases will be yellow and all closed cases will be gray.;F;weak_1;will
R200;4;For any systematic (non-user initiated) action that occurs on a case such as the disputes aging process  a case activity will be generated.  Upon the next logon the user that initiated the dispute case must be notified that a systematic action has occurred on the dispute case.;F;weak_1;will
R213;5;Users shall feel satisfied using the product.  85% of all users will be satisfied with the product.;US;weak_1;will
R215;5;The user shall easily locate instructions while using the product.  User help can be found within 90% of the system.;US;weak_1;can
R217;5;The search for the preferred repair facility shall take no longer than 8 seconds.  The preferred repair facility is returned within 8 seconds;PE;weak_1;preferred
R219;5;The preferred repair facility ratings shall be saved within 5 seconds. The save shall occur within 5 seconds.;PE;weak_1;preferred
R227;5;The maintenance of the product will fall within the established corporate maintenance windows.;O;weak_1;will
R230;5;Only adjusters can request recycled parts audit reports. No users without an adjuster role shall request recycled parts audits.;SE;weak_1;can
R231;5;Only adjusters with a supervisor role can update preferred repair facility ratings. Users without the supervisor role cannot access the repair facility ratings.;SE;weak_1;can
R231;5;Only adjusters with a supervisor role can update preferred repair facility ratings. Users without the supervisor role cannot access the repair facility ratings.;SE;weak_1;preferred
R240;5;The user shall search for the preferred repair facility using vehicle  vehicle location  and radius in miles;F;weak_1;preferred
R245;5;The system shall locate the preferred repair facility with the highest ratings for the input criteria;F;weak_1;preferred
R246;5;The adjuster shall enter the preferred repair facility on the estimate assignment.;F;weak_1;preferred
R247;5;The adjuster shall be able to override the preferred repair facitlity on the estimate assignment.;F;weak_1;preferred
R248;5;The preferred repair facility shall be returned to the user.;F;weak_1;preferred
R249;5;The system shall return a list of repair facilities within the radius if the preferred repair facility cannot be determined.;F;weak_1;preferred
